agency,address,latitude,longitude,state,level
NICODEMUS       ,"304 Washington Ave, Nicodemus, KS 67625-3015",39.393462,-99.614939,Kansas,federal
TALLGRASS PRAIRIE     ,"2480B Hwy 177, Strong City, KS 66869",38.434269,-96.557847,Kansas,federal
CHICKASAW    ,"901 W 1st St, Sulphur, OK 73086-4822",34.506409,-96.968761,Oklahoma,federal
WASHITA BATTLEFIELD       ,"18555 Hwy 47A, Suite A, Cheyenne, OK  73628",35.508848,-99.752573,Oklahoma,federal
ALIBATES FLINT QUARRIES NATIONAL MONUMENT,"P.O. Box 1460, Fritch, TX  79036",35.641351,-101.600265,Texas,federal
AMISTAD    ,"10477 U.S. Highway 90 West, Del Rio, TX 78840",29.466015,-100.988414,Texas,federal
BIG BEND    ,"P.O. Box 129, Big Bend, TX  79834-0129",29.317303,-103.208806,Texas,federal
BIG THICKET    ,"6044 FM 420, Kountze, TX  77625",30.458268,-94.387249,Texas,federal
CHAMIZAL    ,"800 South San Marcial St, El Paso, TX  79905-4123",31.767794,-106.453891,Texas,federal
FORT DAVIS      ,"101 Lt. Henry Flipper Dr, Fort Davis, TX  79734",30.565388,-103.877066,Texas,federal
LAKE MEREDITH    ,"P.O. Box 1460, Fritch, TX  79036",35.641351,-101.600265,Texas,federal
LYNDON B. JOHNSON    ,"P.O. Box 329, Johnson City, TX  78636",30.281138,-98.406011,Texas,federal
PADRE ISLAND    ,"P.O. Box 181300, Corpus Christi, TX 78480",27.668495,-97.287313,Texas,federal
PALO ALTO        ,"600 E. Harrison St, Brownsville, TX 78520",25.909361,-97.496626,Texas,federal
RIO GRANDE      ,"P.O. Box 129, Big Bend, TX  79834-0129",29.317303,-103.208806,Texas,federal
SAN ANTONIO MISSIONS   ,"2202 Roosevelt Ave., San Antonio, TX  78210-4919",29.381891,-98.482278,Texas,federal
WACO MAMMOTH,"6220 Steinbeck Bend Drive, Waco, TX 76708",31.606218,-97.177592,Texas,federal
