df_id,lat,lon,manual_id,state,source,elev2,country,ownership,tot,n2,p
208,49.01005,-125.58568,26398,British Columbia,Synthetic data,44,Canada,State (Public),47,47,1
209,49.01081,-119.35464,48481,British Columbia,Defoliation surveys,1073,Canada,Corporate/Other (Private),49,48,0.9795918367346939
210,49.01086,-116.35583,26400,British Columbia,Synthetic data,1451,Canada,State (Public),50,50,1
211,49.01101,-116.34517,63322,British Columbia,Synthetic data,1562,Canada,State (Public),51,51,1
212,49.01229,-119.31726,26401,British Columbia,Synthetic data,1161,Canada,Corporate/Other (Private),51,49,0.9607843137254902
213,49.01244,-104.40233,26402,Saskatchewan,Synthetic data,693,Canada,Corporate/Other (Private),51,51,1
214,49.01363,-111.30292,72937,Alberta,Synthetic data,1070,Canada,Corporate/Other (Private),50,50,1
215,49.01372,-117.39153,70680,British Columbia,Synthetic data,972,Canada,State (Public),50,45,0.9
216,49.01502,-118.19970000000001,5010,British Columbia,Pheromone trapping,466,Canada,Corporate/Other (Private),49,37,0.7551020408163265
217,49.01692,-124.30968,68304,British Columbia,Synthetic data,1095,Canada,State (Public),51,46,0.9019607843137255
218,49.01692,-114.18367,26403,British Columbia,Synthetic data,2105,Canada,State (Public),50,50,1
219,49.01834,-109.56888,26404,Saskatchewan,Synthetic data,848,Canada,State (Public),47,47,1
220,49.01925,-117.59386,5020,British Columbia,Pheromone trapping,857,Canada,State (Public),50,40,0.8
221,49.01988,-105.91526,26405,Saskatchewan,Synthetic data,816,Canada,Corporate/Other (Private),52,52,1
222,49.02021,-124.98974,60305,British Columbia,Synthetic data,464,Canada,State (Public),51,49,0.9607843137254902
223,49.02139,-120.24496,26406,British Columbia,Synthetic data,2083,Canada,State (Public),47,47,1
224,49.02194,-109.28109,26408,Saskatchewan,Synthetic data,899,Canada,State (Public),51,51,1
225,49.02224,-117.49914,26409,British Columbia,Synthetic data,655,Canada,Corporate/Other (Private),51,33,0.6470588235294118
226,49.02233,-109.79659,26410,Saskatchewan,Synthetic data,847,Canada,State (Public),49,49,1
227,49.02282,-117.12107,63058,British Columbia,Synthetic data,1373,Canada,State (Public),51,51,1
228,49.02283,-111.57689,65048,Alberta,Synthetic data,1126,Canada,Corporate/Other (Private),52,52,1
229,49.02525,-124.75092,26411,British Columbia,Synthetic data,505,Canada,State (Public),50,50,1
230,49.02527,-125.56903,60255,British Columbia,Synthetic data,88,Canada,State (Public),51,50,0.9803921568627451
