lat,lon,manual_id,source,elev2,avg_density,sd_density
36.02727,-103.89126,75524,Synthetic data,1661,0.06250000111758706,0.1580124983322903
36.02865,-119.58041,13320,Synthetic data,58,0.13414634200857903,0.2963188776732947
36.03065,-115.55548,13321,Synthetic data,1461,0.551219526587463,0.4894496819037547
36.03118,-107.55428,13322,Synthetic data,2055,0.5923076837490765,3.147127672284074
36.03123,-106.64974,74523,Synthetic data,2868,0,0
36.03174,-116.08373,13323,Synthetic data,1537,0,0
36.03195,-114.71225,63813,Synthetic data,487,0,0
36.0322,-104.98262,13324,Synthetic data,2166,0,0
36.03272,-118.84843,13325,Synthetic data,260,4.247499987110497,7.554349564649509
36.03313,-113.94872,13326,Synthetic data,1353,0,0
36.03351,-114.57091,71702,Synthetic data,739,0,0
36.03479,-112.11767,13327,Synthetic data,2129,67.20243950806015,154.97159423354825
36.03545,-117.81519,13328,Synthetic data,1360,0,0
36.0379,-108.27743,13329,Synthetic data,1803,0.2536585389114008,0.43994179872673084
36.03815,-119.57665,13330,Synthetic data,59,80.73809523969182,522.2152817223109
36.03873,-117.13443,13331,Synthetic data,1616,0,0
36.03909,-111.0152,65178,Synthetic data,1736,0,0
36.03925,-109.44269,65724,Synthetic data,1926,2.109756055401592,3.2091902018627656
36.03961,-120.49816,13332,Synthetic data,668,0.32500000651925803,0.11491356975006678
36.04058,-110.54168,73158,Synthetic data,1848,4.050000056065619,6.607416309241383
36.04065,-115.34405,63631,Synthetic data,965,22.619999884068964,70.4001093225284
36.04148,-119.25561,13333,Synthetic data,93,7.31999996304512,7.1115721397902805
36.04236,-117.94878,70452,Synthetic data,1034,0.19512195158295514,0.49292556358434786
36.04299,-108.4148,13334,Synthetic data,1798,0.1317073190357627,0.09337832968619468
36.04331,-124.14009,60454,Synthetic data,NA,NA,NA
36.04362,-105.96257,13335,Synthetic data,2097,4.5131579008149485,15.07192070511218
36.0454,-117.24762,62918,Synthetic data,319,0.08536585493058695,0.09370425852946586
36.04626,-105.99977,13336,Synthetic data,1919,2.485714314239365,2.884320261126592
36.04676,-104.99442,13337,Synthetic data,2166,0,0
36.04824,-119.3885,13338,Synthetic data,75,9.080000096559525,4.319496731223414
36.04919,-111.78341,13339,Synthetic data,1956,0.1625000024214387,0.06674674777022006
36.0497,-113.6827,64177,Synthetic data,1341,0,0
36.05188,-114.43261,13340,Synthetic data,409,0.28000001087784765,0.06868732877069039
36.05218,-105.27255,47771,Defoliation surveys,2259,2.663414635309359,0.7844603819374111
36.05271,-116.69231,63094,Synthetic data,931,0,0
36.05397,-106.21696,13341,Synthetic data,1984,0.09761904907368478,0.0154303352261391
