estimate,b1,b2,ci1,ci2,metric,thresh,lag_pr,lag_rh,lag_temp
1,0.9996711303753313,0.9999977425074091,1,1,recall,0,0,0,0
0.2584764319465253,0.25437866082745486,0.26261755915185303,0.2543567923394241,0.2625960715536265,accuracy,0,0,0,0
0.2584764319465253,0.25437866082745486,0.26261755915185303,0.2543567923394241,0.2625960715536265,precision,0,0,0,0
0,7.869513248274057e-7,1.146546057616213e-4,0,0,specificity,0,0,0,0
0.41077675415300646,NA,NA,0.4066500190460646,0.4149034892599483,F1,0,0,0,0
0.9862671660424469,0.9839391883855407,0.9882575718321709,0.9841131289993382,0.9884212030855556,recall,0.025,0,0,0
0.7422841996081595,0.738146960311345,0.7463779462774981,0.7381685167555758,0.7463998824607432,accuracy,0.025,0,0,0
0.5007470457735319,0.4941534200596371,0.5073404080893211,0.4941529200162312,0.5073411715308327,precision,0.025,0,0,0
0.6572378850517547,0.6520326100609156,0.662405096190567,0.6520513001354058,0.6624244699681037,specificity,0.025,0,0,0
0.6642443169874779,NA,NA,0.6591720390410591,0.6693165949338966,F1,0.025,0,0,0
0.9805600142678794,0.9778336753546043,0.9829527211955227,0.9780046027019565,0.9831154258338023,recall,0.05,0,0,0
0.8018439552840844,0.7980661036086654,0.8055676227599469,0.7980930606661033,0.8055948499020654,accuracy,0.05,0,0,0
0.5675354838709677,0.5605466365135616,0.5744971865744587,0.5605594759445894,0.5745114917973461,precision,0.05,0,0,0
0.7395480401603929,0.7347234078320486,0.744314683196327,0.734752132627348,0.7443439476934378,specificity,0.05,0,0,0
0.718951256987806,NA,NA,0.7139137695176742,0.7239887444579379,F1,0.05,0,0,0
0.9746745140003567,0.97159839813677,0.9774210717074409,0.9717665803392405,0.9775824476614728,recall,0.07500000000000001,0,0,0
0.8506165725481157,0.8472308541255136,0.8539393516477066,0.8472622532545406,0.8539708918416908,accuracy,0.07500000000000001,0,0,0
0.6381736439539908,0.630946299494685,0.645338163916138,0.6309769181917702,0.6453703697162114,precision,0.07500000000000001,0,0,0
0.8073730999968917,0.8030266443376438,0.8116451475141563,0.8030636743048825,0.8116825256889009,specificity,0.07500000000000001,0,0,0
0.7713207014572527,NA,NA,0.7664310330801299,0.7762103698343755,F1,0.07500000000000001,0,0,0
0.9651328696272516,0.9615734753297505,0.9683693195320914,0.961737575114087,0.9685281641404163,recall,0.1,0,0,0
0.8833467788406131,0.880291733455401,0.8863330095919731,0.8803261299103465,0.8863674277708796,accuracy,0.1,0,0,0
0.6985735493448654,0.6912986466116267,0.7057486446943713,0.6913477639395444,0.7057993347501863,precision,0.1,0,0,0
0.8548382083242672,0.8509459443992603,0.8586445740198966,0.8509888183251699,0.8586875983233644,specificity,0.1,0,0,0
0.8104991200808777,NA,NA,0.8057988219265667,0.8151994182351886,F1,0.1,0,0,0
0.9574638844301766,0.9535676719409304,0.9610424720475239,0.9537286668086351,0.9611991020517181,recall,0.125,0,0,0
0.9028927048519073,0.9000701928553332,0.9056428936218615,0.9001063894785406,0.905679020225274,accuracy,0.125,0,0,0
0.7418641608512403,0.734670253561326,0.7489279363558592,0.7347345941158168,0.7489937275866638,precision,0.125,0,0,0
0.8838705666594138,0.8803231192657612,0.8873250879225858,0.8803695894757786,0.887371543843049,specificity,0.125,0,0,0
0.8359870751742127,NA,NA,0.8314587438355758,0.8405154065128495,F1,0.125,0,0,0
