value,yhat,lb1,lb2,lb3,ub1,ub2,ub3,outcome,param
96.6673730684327,0.08568869163249156,0.00225,0.01325,0.0405,0.3097687500000002,0.178,0.1035,absent,mean_cover
98.6401766004415,0.08584523167134327,0.0025,0.0135,0.04075,0.3097687500000002,0.178,0.10375,absent,mean_cover
0,0.510170896729265,0.25125,0.35775,0.41725,0.79625,0.71,0.5855,present,mean_cover
1.97280353200883,0.517063640714215,0.253475,0.36025,0.42225,0.81475,0.72,0.59175,present,mean_cover
3.94560706401766,0.5424879533978019,0.26125,0.37775,0.44775,0.8575,0.7415500000000002,0.61875,present,mean_cover
5.91841059602649,0.6036981913594508,0.27875,0.423,0.51475,0.8995,0.7840500000000001,0.6815,present,mean_cover
7.89121412803532,0.6751242120201988,0.3035,0.4595,0.5715,0.9508874999999998,0.84975,0.77175,present,mean_cover
9.86401766004415,0.6920251410937655,0.3095,0.46575,0.5865,0.96425,0.86475,0.79475,present,mean_cover
11.836821192053,0.7627156506815406,0.354,0.5385,0.67175,0.9825,0.92375,0.86725,present,mean_cover
13.8096247240618,0.7913065447704545,0.37225,0.57375,0.709,0.9905,0.94675,0.89325,present,mean_cover
15.7824282560706,0.8056745354632167,0.39325,0.59475,0.723,0.99275,0.958,0.907,present,mean_cover
17.7552317880795,0.8094791989834649,0.3985,0.6,0.7255,0.99325,0.9605,0.9095,present,mean_cover
19.7280353200883,0.8161608056371498,0.41658750000000005,0.60945,0.7345,0.99325,0.96375,0.9135,present,mean_cover
21.7008388520971,0.8396179989438595,0.496,0.63475,0.761625,0.9925,0.97,0.9335,present,mean_cover
23.673642384106,0.8591790983200767,0.52475,0.65,0.78375,0.996,0.9785,0.9535,present,mean_cover
25.6464459161148,0.8701619277863957,0.545,0.6655,0.795625,0.9966374999999998,0.9835,0.96275,present,mean_cover
27.6192494481236,0.891244017954388,0.5925,0.70525,0.8155,0.9975,0.992,0.97825,present,mean_cover
29.5920529801324,0.9072853477012442,0.65275,0.74775,0.84075,0.9985,0.99425,0.983,present,mean_cover
31.5648565121413,0.9145938479817816,0.67675,0.76725,0.85375,0.99875,0.99525,0.9855,present,mean_cover
