value,yhat,lb1,lb2,lb3,ub1,ub2,ub3,outcome,param
0,0.05707638051603569,0,0,0,0.24125,0.172,0.10825,absent,max_biomass
44.11669921875,0.05772994534201431,2.5e-4,5e-4,0.00125,0.241,0.1715,0.10775,absent,max_biomass
88.2333984375,0.05517313720761997,0.005,0.01075,0.01925,0.24675,0.12675,0.065,absent,max_biomass
132.35009765625,0.05186528414114621,0.00375,0.00875,0.0165,0.249,0.12,0.05675,absent,max_biomass
176.466796875,0.05985497548428583,0.00325,0.0085,0.02,0.267,0.14125,0.06925,absent,max_biomass
220.58349609375,0.07406430351257937,0.0035,0.01275,0.027,0.326,0.174,0.08875,absent,max_biomass
264.7001953125,0.08152041636524396,0.0035,0.01375,0.029,0.3435,0.19425,0.10175,absent,max_biomass
308.81689453125,0.0838738847359537,0.0035,0.014,0.02925,0.34875,0.202,0.1055,absent,max_biomass
352.93359375,0.0845548388393216,0.00325,0.014,0.0295,0.35,0.20375,0.10725,absent,max_biomass
397.05029296875,0.0840737279961418,0.00325,0.01375,0.0295,0.34875,0.2025,0.106,absent,max_biomass
441.1669921875,0.08458047986496263,0.00375,0.014,0.03,0.34825,0.20225,0.1065,absent,max_biomass
485.28369140625,0.08548412507033197,0.00375,0.014,0.0305,0.351,0.20425,0.10725,absent,max_biomass
529.400390625,0.085883630737079,0.00475,0.015,0.031,0.35475,0.205,0.10775,absent,max_biomass
573.51708984375,0.08675512418615867,0.005,0.0155,0.03125,0.36175,0.20675,0.109,absent,max_biomass
617.6337890625,0.08724041475765613,0.006,0.01625,0.0315,0.36275,0.2075,0.1095,absent,max_biomass
661.75048828125,0.08711174744795433,0.0055,0.016,0.0315,0.3605,0.207,0.10975,absent,max_biomass
705.8671875,0.08717840205771239,0.00575,0.01625,0.0315,0.35875,0.20675,0.11,absent,max_biomass
749.98388671875,0.08707453179004902,0.00575,0.01625,0.0315,0.357,0.20625,0.10975,absent,max_biomass
794.1005859375,0.08705861667068564,0.00575,0.01625,0.0315,0.35675,0.20675,0.10975,absent,max_biomass
838.21728515625,0.08711695201350372,0.00575,0.01625,0.0315,0.3565,0.20675,0.10975,absent,max_biomass
882.333984375,0.0871128526645768,0.00575,0.01625,0.0315,0.356,0.20675,0.11,absent,max_biomass
926.45068359375,0.08712997347480106,0.006,0.01625,0.0315,0.356,0.207,0.11,absent,max_biomass
970.5673828125,0.08727650510409131,0.00625,0.01625,0.03175,0.356,0.207,0.1105,absent,max_biomass
1014.68408203125,0.08742617152961982,0.0065,0.0165,0.03175,0.356,0.207,0.11075,absent,max_biomass
1058.80078125,0.08803516598344184,0.00825,0.0175,0.03225,0.35625,0.2075,0.11125,absent,max_biomass
1102.91748046875,0.09246131741821396,0.012,0.02325,0.03575,0.35625,0.20875,0.11775,absent,max_biomass
1147.0341796875,0.0927293224017362,0.012,0.02325,0.036,0.35625,0.20875,0.1185,absent,max_biomass
1191.15087890625,0.09271786833855798,0.012,0.02325,0.036,0.35625,0.20875,0.1185,absent,max_biomass
1235.267578125,0.092765814645125,0.012,0.02325,0.036,0.35625,0.20875,0.1185,absent,max_biomass
1279.38427734375,0.09277775098464754,0.012,0.02325,0.036,0.35625,0.209,0.1185,absent,max_biomass
1323.5009765625,0.09281940760389036,0.012,0.02325,0.036,0.35625,0.209,0.11875,absent,max_biomass
1367.61767578125,0.09297261072261073,0.012,0.02325,0.036,0.35675,0.20925,0.11925,absent,max_biomass
1411.734375,0.09304465075154732,0.012,0.02325,0.036,0.35675,0.20925,0.1195,absent,max_biomass
1455.85107421875,0.09311092355919942,0.012,0.02325,0.036,0.35675,0.2095,0.1195,absent,max_biomass
1499.9677734375,0.09322048066875654,0.012,0.02325,0.036,0.3565,0.20925,0.11975,absent,max_biomass
1544.08447265625,0.09368945422393699,0.012,0.02325,0.036,0.35675,0.21,0.12125,absent,max_biomass
1588.201171875,0.09383445864480348,0.012,0.02325,0.03625,0.35625,0.21,0.12175,absent,max_biomass
1632.31787109375,0.09395956916646572,0.012,0.02325,0.03625,0.356,0.2105,0.12225,absent,max_biomass
1676.4345703125,0.09404653966722931,0.012,0.02325,0.03625,0.356,0.2105,0.12225,absent,max_biomass
1720.55126953125,0.0940210995900651,0.012,0.02325,0.03625,0.356,0.2105,0.12225,absent,max_biomass
1764.66796875,0.0940210995900651,0.012,0.02325,0.03625,0.356,0.2105,0.12225,absent,max_biomass
1808.78466796875,0.09404786592717627,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
1852.9013671875,0.09404879029016959,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
1897.01806640625,0.09404927256651395,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
1941.134765625,0.094050277308898,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
1985.25146484375,0.094050277308898,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
2029.3681640625,0.094050277308898,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
2073.48486328125,0.094050277308898,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
2117.6015625,0.094050277308898,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
2161.71826171875,0.094050277308898,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
2205.8349609375,0.094050277308898,0.012,0.02325,0.03625,0.356,0.2105,0.1225,absent,max_biomass
0,0.5278038609678822,0.391,0.41525,0.44925,0.7885,0.6585,0.579,present,max_biomass
44.11669921875,0.5289183077592098,0.39175,0.41715,0.4515,0.79025,0.65875,0.57925,present,max_biomass
88.2333984375,0.8555425545132633,0.62935,0.6725,0.7895,0.99675,0.9655,0.9355,present,max_biomass
132.35009765625,0.9077127104429397,0.6795,0.73225,0.85675,0.999,0.996,0.985,present,max_biomass
176.466796875,0.935423821208921,0.7165,0.77725,0.9135,1,0.99925,0.99675,present,max_biomass
220.58349609375,0.9513340373982729,0.7565,0.84825,0.936,0.99975,0.999,0.99675,present,max_biomass
264.7001953125,0.9542714480959185,0.76675,0.8625,0.93875,0.99975,0.999,0.99675,present,max_biomass
308.81689453125,0.9549249704913959,0.774,0.87,0.936,0.99975,0.999,0.9965,present,max_biomass
352.93359375,0.9532150245387339,0.775,0.869,0.93325,0.9996500000000001,0.9985,0.99575,present,max_biomass
397.05029296875,0.9503584674162887,0.778,0.8694,0.92725,0.99925,0.9975,0.994,present,max_biomass
441.1669921875,0.9481080636143381,0.7836,0.87025,0.92125,0.99865,0.99675,0.99225,present,max_biomass
485.28369140625,0.9450177517549854,0.7836,0.876,0.92675,0.99575,0.9905,0.98225,present,max_biomass
529.400390625,0.9371393116729825,0.77935,0.86925,0.919,0.99425,0.98775,0.9725,present,max_biomass
573.51708984375,0.936968239423495,0.7766,0.86575,0.917,0.9975,0.9905,0.974,present,max_biomass
617.6337890625,0.9371346213580171,0.77575,0.864,0.91675,0.99875,0.99135,0.97475,present,max_biomass
661.75048828125,0.9267353544138659,0.7724500000000001,0.8575,0.90725,0.99875,0.9805,0.962,present,max_biomass
705.8671875,0.9183578151208299,0.76875,0.85225,0.899,0.99875,0.9730999999999999,0.95175,present,max_biomass
749.98388671875,0.9115118966267006,0.767,0.84725,0.8915,0.99875,0.97085,0.94275,present,max_biomass
794.1005859375,0.9096462384295211,0.76575,0.8465,0.88975,0.99875,0.96975,0.94025,present,max_biomass
838.21728515625,0.9085340591414549,0.765,0.84565,0.8885,0.9985,0.9685999999999999,0.939,present,max_biomass
882.333984375,0.9080550413120457,0.7644500000000001,0.84525,0.888,0.998,0.9675999999999999,0.93875,present,max_biomass
926.45068359375,0.9075282350748587,0.764,0.8445,0.8875,0.99775,0.9665,0.9385,present,max_biomass
970.5673828125,0.9072951015717214,0.76335,0.84375,0.88725,0.997,0.96625,0.9385,present,max_biomass
1014.68408203125,0.9071982201652482,0.7631000000000001,0.84325,0.88725,0.997,0.966,0.93825,present,max_biomass
1058.80078125,0.9072340653537927,0.76325,0.84325,0.88725,0.997,0.966,0.9385,present,max_biomass
1102.91748046875,0.9072967167795242,0.7631000000000001,0.8435,0.88725,0.997,0.9665,0.9385,present,max_biomass
1147.0341796875,0.9073302478722743,0.7631000000000001,0.8435,0.88725,0.997,0.9665,0.9385,present,max_biomass
1191.15087890625,0.9073281978008325,0.7631000000000001,0.8435,0.88725,0.997,0.9665,0.9385,present,max_biomass
1235.267578125,0.9073446449649003,0.76325,0.8435,0.88725,0.997,0.9665,0.9385,present,max_biomass
1279.38427734375,0.9073482947133006,0.76325,0.8435,0.88725,0.997,0.9665,0.9385,present,max_biomass
1323.5009765625,0.9073543362117165,0.7631000000000001,0.8435,0.88725,0.997,0.9665,0.9385,present,max_biomass
