thresh,false_positive,true_negative,true_positive,false_negative,TPR,FPR,diff,maximized,lag_pr,lag_rh,lag_temp,filenum
0,1,0,1,0,1,1,0,0,0,0,0,lag000
0.025,0.3427621149482453,0.6572378850517547,0.9862671660424468,0.01373283395755306,0.9862671660424468,0.3427621149482453,0.6435050510942015,0,0,0,0,lag000
0.05,0.2604519598396071,0.7395480401603929,0.9805600142678794,0.01943998573212056,0.9805600142678794,0.2604519598396071,0.7201080544282723,0,0,0,0,lag000
0.07500000000000001,0.1926269000031084,0.8073730999968917,0.9746745140003568,0.0253254859996433,0.9746745140003568,0.1926269000031084,0.7820476139972483,0,0,0,0,lag000
0.1,0.14516179167573282,0.8548382083242672,0.9651328696272516,0.03486713037274835,0.9651328696272516,0.14516179167573282,0.8199710779515188,0,0,0,0,lag000
0.125,0.11612943334058624,0.8838705666594138,0.9574638844301766,0.04253611556982344,0.9574638844301766,0.11612943334058624,0.8413344510895904,0,0,0,0,lag000
0.15000000000000002,0.09716825712598302,0.902831742874017,0.949705724986624,0.05029427501337614,0.949705724986624,0.09716825712598302,0.8525374678606409,0,0,0,0,lag000
0.17500000000000002,0.08088029591868454,0.9191197040813156,0.9415908685571608,0.05840913144283931,0.9415908685571608,0.08088029591868454,0.8607105726384762,0,0,0,0,lag000
0.2,0.06742096919585963,0.9325790308041404,0.934278580345996,0.06572141965400392,0.934278580345996,0.06742096919585963,0.8668576111501365,0,0,0,0,lag000
0.225,0.05675919306207454,0.9432408069379254,0.9248261102193688,0.07517388978063136,0.9248261102193688,0.05675919306207454,0.8680669171572941,1,0,0,0,lag000
0.25,0.04721643716390538,0.9527835628360948,0.9123417157125022,0.08765828428749776,0.9123417157125022,0.04721643716390538,0.8651252785485969,0,0,0,0,lag000
0.275,0.040750986913680023,0.95924901308632,0.8996789727126806,0.10032102728731944,0.8996789727126806,0.040750986913680023,0.8589279857990005,0,0,0,0,lag000
0.30000000000000004,0.0357775636442759,0.964222436355724,0.8889780631353665,0.11102193686463348,0.8889780631353665,0.0357775636442759,0.8532004994910907,0,0,0,0,lag000
0.325,0.03217183177395791,0.967828168226042,0.8776529338327091,0.12234706616729088,0.8776529338327091,0.03217183177395791,0.8454811020587513,0,0,0,0,lag000
0.35000000000000003,0.0288458549625439,0.971154145037456,0.865792759051186,0.13420724094881398,0.865792759051186,0.0288458549625439,0.8369469040886421,0,0,0,0,lag000
0.375,0.02601722047807031,0.9739827795219296,0.8542001070090958,0.14579989299090423,0.8542001070090958,0.02601722047807031,0.8281828865310255,0,0,0,0,lag000
0.4,0.02325075378446427,0.9767492462155356,0.8446584626359908,0.15534153736400927,0.8446584626359908,0.02325075378446427,0.8214077088515265,0,0,0,0,lag000
0.425,0.02091946162693108,0.979080538373069,0.8373461744248261,0.16265382557517388,0.8373461744248261,0.02091946162693108,0.816426712797895,0,0,0,0,lag000
0.45,0.01886792452830188,0.981132075471698,0.827358658819333,0.172641341180667,0.827358658819333,0.01886792452830188,0.8084907342910311,0,0,0,0,lag000
0.475,0.01728264586117932,0.9827173541388208,0.8191546281433922,0.18084537185660784,0.8191546281433922,0.01728264586117932,0.8018719822822129,0,0,0,0,lag000
0.5,0.01554194771688788,0.984458052283112,0.8109505974674514,0.1890494025325486,0.8109505974674514,0.01554194771688788,0.7954086497505635,0,0,0,0,lag000
0.525,0.01370799788629511,0.9862920021137048,0.7987337257000179,0.20126627429998217,0.7987337257000179,0.01370799788629511,0.7850257278137228,0,0,0,0,lag000
0.55,0.01221597090547387,0.987784029094526,0.7887462100945247,0.2112537899054753,0.7887462100945247,0.01221597090547387,0.7765302391890508,0,0,0,0,lag000
0.5750000000000001,0.01084827950638774,0.9891517204936122,0.7778669520242554,0.2221330479757446,0.7778669520242554,0.01084827950638774,0.7670186725178676,0,0,0,0,lag000
0.6000000000000001,0.00966709147990426,0.9903329085200956,0.767701087925807,0.23229891207419295,0.767701087925807,0.00966709147990426,0.7580339964459027,0,0,0,0,lag000
0.625,0.00839265176711945,0.9916073482328804,0.7547708221865526,0.24522917781344747,0.7547708221865526,0.00839265176711945,0.7463781704194331,0,0,0,0,lag000
0.65,0.00727363153150352,0.9927263684684964,0.7456750490458356,0.25432495095416446,0.7456750490458356,0.00727363153150352,0.7384014175143321,0,0,0,0,lag000
0.675,0.0064032824593578,0.9935967175406422,0.7348849652220438,0.2651150347779561,0.7348849652220438,0.0064032824593578,0.728481682762686,0,0,0,0,lag000
0.7000000000000001,0.00540859780547698,0.994591402194523,0.723203138933476,0.276796861066524,0.723203138933476,0.00540859780547698,0.717794541127999,0,0,0,0,lag000
0.7250000000000001,0.00481800379223524,0.9951819962077648,0.7107187444266096,0.2892812555733904,0.7107187444266096,0.00481800379223524,0.7059007406343744,0,0,0,0,lag000
0.75,0.00404090640639084,0.9959590935936092,0.6956482967718923,0.30435170322810773,0.6956482967718923,0.00404090640639084,0.6916073903655015,0,0,0,0,lag000
0.775,0.0034503123931491,0.9965496876068508,0.6776350989834136,0.32236490101658644,0.6776350989834136,0.0034503123931491,0.6741847865902645,0,0,0,0,lag000
0.8,0.00279755058903981,0.99720244941096,0.6559657570893526,0.3440342429106474,0.6559657570893526,0.00279755058903981,0.6531682065003127,0,0,0,0,lag000
0.8250000000000001,0.00223804047123185,0.997761959528768,0.6301052256108436,0.3698947743891564,0.6301052256108436,0.00223804047123185,0.6278671851396117,0,0,0,0,lag000
0.8500000000000001,0.00164744645799011,0.99835255354201,0.6013019439985732,0.3986980560014268,0.6013019439985732,0.00164744645799011,0.5996544975405831,0,0,0,0,lag000
0.875,0.00118118802648347,0.9988188119735164,0.5642946317103621,0.4357053682896379,0.5642946317103621,0.00118118802648347,0.5631134436838786,0,0,0,0,lag000
0.9,9.325168630132728e-4,0.9990674831369868,0.5166755840913144,0.4833244159086856,0.5166755840913144,9.325168630132728e-4,0.5157430672283011,0,0,0,0,lag000
0.925,6.216779086755152e-4,0.9993783220913244,0.4514000356696986,0.5485999643303014,0.4514000356696986,6.216779086755152e-4,0.4507783577610231,0,0,0,0,lag000
