value,yhat,lb1,lb2,lb3,ub1,ub2,ub3,param,lag
0,0.313431442243145,0,0,0.01625,0.73015,0.61975,0.5355,max_biomass,0
44.11669921875,0.31281544227757,0.0015,0.003,0.01575,0.73475,0.618,0.53175,max_biomass,0
88.2333984375,0.450122600994888,0.00425,0.01025,0.0295,0.98175,0.8945,0.82125,max_biomass,0
132.35009765625,0.494249931149629,0.004,0.01025,0.024,0.9975,0.98825,0.9555,max_biomass,0
176.466796875,0.507190986625815,0.004,0.0115,0.02625,0.9995,0.99725,0.97375,max_biomass,0
220.58349609375,0.520683400175568,0.00675,0.015,0.03375,0.99925,0.996,0.97875,max_biomass,0
264.7001953125,0.5240667934661,0.00625,0.01525,0.03725,0.9995,0.9965,0.978,max_biomass,0
308.81689453125,0.524801185947639,0.0065,0.0155,0.0375,0.99925,0.99625,0.97625,max_biomass,0
352.93359375,0.5240486729091,0.0065,0.0155,0.03775,0.999,0.995,0.974,max_biomass,0
397.05029296875,0.522665516291719,0.006,0.01575,0.0375,0.99775,0.993,0.96925,max_biomass,0
441.1669921875,0.520307653579359,0.0065,0.01625,0.038,0.9965,0.991,0.962,max_biomass,0
485.28369140625,0.517241376491041,0.00625,0.01625,0.038,0.9875,0.97375,0.95225,max_biomass,0
529.400390625,0.510458491832625,0.0065,0.0165,0.0385,0.98575,0.9645,0.926,max_biomass,0
573.51708984375,0.510352457958242,0.007,0.01675,0.03925,0.9955,0.96375,0.92375,max_biomass,0
617.6337890625,0.510560528082345,0.00725,0.017,0.03975,0.99775,0.9645,0.9235,max_biomass,0
661.75048828125,0.506741066664372,0.00725,0.017,0.03975,0.9985,0.95275,0.9135,max_biomass,0
705.8671875,0.501942307692308,0.00725,0.017,0.04025,0.997,0.941,0.9005,max_biomass,0
749.98388671875,0.500255989982271,0.00725,0.017,0.04025,0.99725,0.9375,0.896,max_biomass,0
794.1005859375,0.499174212954197,0.00725,0.017,0.0405,0.997,0.9355,0.893,max_biomass,0
838.21728515625,0.498820055252423,0.00725,0.017,0.04075,0.99625,0.93475,0.89225,max_biomass,0
882.333984375,0.49866691051173,0.0075,0.01725,0.04125,0.99575,0.93375,0.892,max_biomass,0
926.45068359375,0.498614747749454,0.00775,0.0175,0.04175,0.9955,0.9335,0.892,max_biomass,0
970.5673828125,0.498430013597948,0.008,0.0175,0.04175,0.99375,0.9335,0.89175,max_biomass,0
1014.68408203125,0.498460329276899,0.008,0.0175,0.042,0.993,0.93325,0.89175,max_biomass,0
1058.80078125,0.4987250116185,0.0085,0.01775,0.043,0.99325,0.9335,0.892,max_biomass,0
1102.91748046875,0.501172211990292,0.01125,0.02025,0.0555,0.99325,0.9335,0.892,max_biomass,0
1147.0341796875,0.501267965643665,0.01125,0.02025,0.05575,0.99325,0.9335,0.892,max_biomass,0
1191.15087890625,0.501331239134551,0.01125,0.02025,0.05625,0.99325,0.9335,0.892,max_biomass,0
