metric,estimate,ci1,ci2,b1,b2,thresh,lag_pr,lag_rh,lag_temp,lag
log-likelihood,-7667.861803989227,NA,NA,NA,NA,0.25,15,15,15,15
AUC,0.9756038515136228,0.9741401133202474,0.9770675897069984,NA,NA,0.25,16,16,16,16
recall,0.911449973247726,0.9061917797703852,0.9167081667250668,0.9060482133369,0.9165660457027696,0.25,16,16,16,16
accuracy,0.9305750835542238,0.9281833121823734,0.9329668549260742,0.928144543454287,0.9329283314203848,0.25,16,16,16,16
precision,0.8350490196078432,0.8284739735670189,0.8416240656486674,0.8283677179795855,0.8415171745981898,0.25,16,16,16,16
specificity,0.9372416151192068,0.934591373608564,0.9398918566298494,0.9345381991446832,0.9398391859093396,0.25,16,16,16,16
F1,0.8715784088002047,NA,NA,NA,NA,0.25,16,16,16,16
brier,0.04949509621845108,NA,NA,NA,NA,0.25,16,16,16,16
log-likelihood,-7596.040950987517,NA,NA,NA,NA,0.25,16,16,16,16
AUC,0.9761015569572302,0.9746540648282273,0.9775490490862332,NA,NA,0.2,17,17,17,17
recall,0.9307116104868914,0.926011440176594,0.9354117807971888,0.925860726592951,0.9352634356426353,0.2,17,17,17,17
accuracy,0.921009565518036,0.9184714838508408,0.9235476471852314,0.9184336079113072,0.923509947884932,0.2,17,17,17,17
precision,0.7975089783754872,0.7906239347495043,0.80439402200147,0.7905359760860526,0.8043049617039454,0.2,17,17,17,17
specificity,0.9176276771004942,0.9146233466494244,0.920632007551564,0.9145726575067936,0.9205815991360164,0.2,17,17,17,17
F1,0.858976996831406,NA,NA,NA,NA,0.2,17,17,17,17
brier,0.04865853335398179,NA,NA,NA,NA,0.2,17,17,17,17
log-likelihood,-7471.814356739346,NA,NA,NA,NA,0.2,17,17,17,17
AUC,0.9760548630878292,0.974600092525858,0.9775096336498,NA,NA,0.2,18,18,18,18
recall,0.9285714285714286,0.9238047108325126,0.9333381463103446,0.9236547985818148,0.933190485430602,0.2,18,18,18,18
accuracy,0.9225733582278772,0.9200583353094866,0.925088381146268,0.9200203120017524,0.9250505450171828,0.2,18,18,18,18
precision,0.802790841107085,0.7959433088525943,0.8096383733615756,0.7958529472391572,0.8095469625309801,0.2,18,18,18,18
specificity,0.9204824520501104,0.9175259612118976,0.9234389428883232,0.9174749092346394,0.9233881999555577,0.2,18,18,18,18
F1,0.8611122596650818,NA,NA,NA,NA,0.2,18,18,18,18
brier,0.04882620316281723,NA,NA,NA,NA,0.2,18,18,18,18
log-likelihood,-7499.186413862349,NA,NA,NA,NA,0.2,18,18,18,18
AUC,0.976330345784014,0.9748919197290882,0.97776877183894,NA,NA,0.275,19,19,19,19
recall,0.8991439272338149,0.8935702549508882,0.9047175995167416,0.8934311959909139,0.9045795144626037,0.275,19,19,19,19
accuracy,0.9372104280478528,0.9349276767506508,0.9394931793450548,0.934888283441496,0.939454085792266,0.275,19,19,19,19
precision,0.8635662898252826,0.8573401665779287,0.8697924130726364,0.8572189783409806,0.869671144582415,0.275,19,19,19,19
specificity,0.95048027604215235,0.9481094594769458,0.9528510926073588,0.948054577100197,0.9527969187771422,0.275,19,19,19,19
F1,0.8809960681520314,NA,NA,NA,NA,0.275,19,19,19,19
brier,0.0487947243692806,NA,NA,NA,NA,0.275,19,19,19,19
log-likelihood,-7483.530785021802,NA,NA,NA,NA,0.275,19,19,19,19
AUC,0.9767915949930982,0.9753690237472752,0.9782141662389212,NA,NA,0.225,20,20,20,20
recall,0.9192081326912788,0.9141642317645332,0.9242520336180244,0.914017802608558,0.924107389468378,0.225,20,20,20,20
accuracy,0.9299034183896918,0.9275009171374912,0.9323059196418924,0.9274622094865111,0.9322674520632908,0.225,20,20,20,20
precision,0.8284175841838785,0.8217930619158985,0.8350421064518584,0.8216906679118683,0.834938980074056,0.225,20,20,20,20
specificity,0.9336317572818552,0.930911529585108,0.9363519849786024,0.9308588121285872,0.9362997244824744,0.225,20,20,20,20
F1,0.8714545377689478,NA,NA,NA,NA,0.225,20,20,20,20
brier,0.0486261918695111,NA,NA,NA,NA,0.225,20,20,20,20
log-likelihood,-7456.53316620307,NA,NA,NA,NA,0.225,20,20,20,20
AUC,0.976388640566598,0.9749469645433948,0.9778303165898014,NA,NA,0.225,21,21,21,21
recall,0.9176921705011593,0.9126053679160258,0.9227789730862928,0.912459499634298,0.9226348204524848,0.225,21,21,21,21
accuracy,0.929692722620502,0.9272868305111776,0.9320986147298264,0.9272481407874104,0.932060163488966,0.225,21,21,21,21
precision,0.8287163794491866,0.8220897738648959,0.8353429850334774,0.821987077824846,0.8352395596845836,0.225,21,21,21,21
specificity,0.933876332887742,0.9311606819769096,0.9365919837985746,0.9311079300915484,0.9365396919982284,0.225,21,21,21,21
F1,0.870937711577522,NA,NA,NA,NA,0.225,21,21,21,21
brier,0.04878188520896245,NA,NA,NA,NA,0.225,21,21,21,21
log-likelihood,-7476.571623730048,NA,NA,NA,NA,0.225,21,21,21,21
AUC,0.977531971909716,0.9761305252206272,0.9789334185988048,NA,NA,0.225,2,2,2,2
