lat,lon,manual_id,modis_id,source,classification,short,total,Temperate or sub-polar grassland,Tropical or sub-tropical shrubland,Temperate or sub-polar needleleaf forest,Temperate or sub-polar shrubland,Cropland,Urban and Built-up,Barren Lands,Wetland,Temperate or sub-polar broadleaf deciduous forest,Water,Tropical or sub-tropical grassland,Snow and Ice,No data,Mixed Forest,Sub-polar or polar grassland-lichen-moss,Sub-polar or polar barren-lichen-moss,near_needle
31.611805650987662,-111.94489826564676,10135,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1255,0.0031872509960159364,0.9968127490039841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
31.69722521159565,-105.69674439326629,10183,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1255,0.0749003984063745,0.9250996015936255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
31.78177437814884,-112.13231144071324,10228,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1254,0.01036682615629984,0.9896331738437002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
31.884,-109.207,50327,8,iNaturalist,Temperate or sub-polar shrubland,temperature_shrub,1254,NA,NA,0.6419457735247209,0.3580542264752791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
31.892782018054277,-106.50072317896412,10299,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1257,0.0031821797931583136,0.9387430389817024,NA,NA,0.00477326968973747,0.053301511535401754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
31.913,-109.268,51193,1,iNaturalist,Temperate or sub-polar needleleaf forest,needleleaf,1259,NA,NA,0.8697378872120731,0.13026211278792693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
31.953781737363897,-114.11132487334544,10336,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1255,NA,0.9665338645418327,NA,NA,NA,NA,0.03346613545816733,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
31.968862408713903,-112.25889737845864,10341,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1256,0.0015923566878980893,0.9665605095541401,NA,NA,NA,NA,NA,0.03184713375796178,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
32.04871134145651,-106.23909430962522,10391,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1258,NA,0.5238473767885533,NA,0.47615262321144675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
32.10716968821362,-110.65405079867924,10417,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1258,0.04689984101748808,0.9531001589825119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
32.17994822387118,-108.65148673363728,10467,8,Synthetic data,Temperate or sub-polar shrubland,temperature_shrub,1252,NA,0.3889776357827476,NA,0.6110223642172524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
32.27395699132467,-114.48644829232944,10520,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1258,NA,0.9968203497615262,NA,NA,NA,NA,0.003179650238473768,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
32.29586853220826,-104.14201209525343,10535,15,Synthetic data,Cropland,cropland,1260,0.07222222222222222,0.14126984126984127,NA,0.39206349206349206,0.3873015873015873,0.007142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
32.32903366087703,-111.05932027514793,10552,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1258,0.0023847376788553257,0.8036565977742448,NA,NA,0.0047694753577106515,0.1891891891891892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
32.39564858417725,-110.7766319446382,10586,8,Synthetic data,Temperate or sub-polar shrubland,temperature_shrub,1259,0.05877680698967434,0.04527402700555997,0.19301032565528198,0.6981731532962668,0.004765687053216839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
32.43955701217055,-110.72616930137156,10616,1,Synthetic data,Temperate or sub-polar needleleaf forest,needleleaf,1258,0.025437201907790145,0.023052464228934817,0.4944356120826709,0.45707472178060415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
32.46694314906577,-110.7428787854259,48109,8,Defoliation surveys,Temperate or sub-polar shrubland,temperature_shrub,1255,0.07729083665338646,0.0199203187250996,0.38725099601593627,0.5155378486055777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
32.50111762963934,-105.77967076643836,10657,8,Synthetic data,Temperate or sub-polar shrubland,temperature_shrub,1256,0.1552547770700637,0.020700636942675158,NA,0.8240445859872612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
32.63074181886623,-107.36907920544036,10722,7,Synthetic data,Tropical or sub-tropical shrubland,tropical_shrub,1255,0.00398406374501992,0.8709163346613545,NA,0.100398406374502,0.024701195219123506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
32.72081067139683,-105.72926828445564,47968,1,Defoliation surveys,Temperate or sub-polar needleleaf forest,needleleaf,1258,0.028616852146263912,0.0023847376788553257,0.7972972972972973,0.17170111287758347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
