modis_id,lat,lon,source,manual_id,classification,short,keep,reason
15,46.679,-114.041,iNaturalist,50274,Cropland,cropland,TRUE,
15,47.75026,-117.20738,Pheromone trapping,1302,Cropland,cropland,TRUE,
17,44,-123.084,iNaturalist,50400,Urban and Built-up,urban,TRUE,
18,44.928,-116.09,iNaturalist,50172,Water,water,TRUE,
