id,left,top,right,bottom,row_index,col_index,acres2,_count,_sum,_mean
1,-128.125000000000000,54.125000000000000,-127.875000000000000,53.875000000000000,0,0,112725,7064,13,0.00184031710079275
2,-128.125000000000000,53.875000000000000,-127.875000000000000,53.625000000000000,1,0,113394,7112,99,0.0139201349831271
3,-128.125000000000000,53.625000000000000,-127.875000000000000,53.375000000000000,2,0,114062,6930,358,0.0516594516594517
4,-128.125000000000000,53.375000000000000,-127.875000000000000,53.125000000000000,3,0,114727,6679,158,0.0236562359634676
5,-128.125000000000000,53.125000000000000,-127.875000000000000,52.875000000000000,4,0,115389,7137,0,0
6,-128.125000000000000,52.875000000000000,-127.875000000000000,52.625000000000000,5,0,116050,6897,0,0
7,-128.125000000000000,52.625000000000000,-127.875000000000000,52.375000000000000,6,0,116708,6001,0,0
8,-128.125000000000000,52.375000000000000,-127.875000000000000,52.125000000000000,7,0,117364,5564,0,0
9,-128.125000000000000,52.125000000000000,-127.875000000000000,51.875000000000000,8,0,118018,4983,1,0.000200682319887618
10,-128.125000000000000,51.875000000000000,-127.875000000000000,51.625000000000000,9,0,118669,3003,0,0
11,-128.125000000000000,51.625000000000000,-127.875000000000000,51.375000000000000,10,0,119318,4422,4,0.000904568068747173
12,-128.125000000000000,51.375000000000000,-127.875000000000000,51.125000000000000,11,0,119964,0,0,
13,-128.125000000000000,51.125000000000000,-127.875000000000000,50.875000000000000,12,0,120608,450,62,0.137777777777778
14,-128.125000000000000,50.875000000000000,-127.875000000000000,50.625000000000000,13,0,121250,7409,548,0.0739640977189904
15,-128.125000000000000,50.625000000000000,-127.875000000000000,50.375000000000000,14,0,121889,5301,264,0.0498019241652518
16,-128.125000000000000,50.375000000000000,-127.875000000000000,50.125000000000000,15,0,122526,670,13,0.0194029850746269
17,-128.125000000000000,50.125000000000000,-127.875000000000000,49.875000000000000,16,0,123161,100,0,0
18,-128.125000000000000,49.875000000000000,-127.875000000000000,49.625000000000000,17,0,123793,0,0,
19,-128.125000000000000,49.625000000000000,-127.875000000000000,49.375000000000000,18,0,124423,0,0,
20,-128.125000000000000,49.375000000000000,-127.875000000000000,49.125000000000000,19,0,125050,0,0,
21,-128.125000000000000,49.125000000000000,-127.875000000000000,48.875000000000000,20,0,125675,0,0,
22,-128.125000000000000,48.875000000000000,-127.875000000000000,48.625000000000000,21,0,126297,0,0,
23,-128.125000000000000,48.625000000000000,-127.875000000000000,48.375000000000000,22,0,126917,0,0,
24,-128.125000000000000,48.375000000000000,-127.875000000000000,48.125000000000000,23,0,127534,0,0,
25,-127.875000000000000,54.125000000000000,-127.625000000000000,53.875000000000000,0,1,112725,7062,4,0.000566411781365052
26,-127.875000000000000,53.875000000000000,-127.625000000000000,53.625000000000000,1,1,113394,7114,0,0
27,-127.875000000000000,53.625000000000000,-127.625000000000000,53.375000000000000,2,1,114062,7166,45,0.006279653921295
28,-127.875000000000000,53.375000000000000,-127.625000000000000,53.125000000000000,3,1,114727,7195,448,0.0622654621264767
29,-127.875000000000000,53.125000000000000,-127.625000000000000,52.875000000000000,4,1,115389,7270,46,0.0063273727647868
30,-127.875000000000000,52.875000000000000,-127.625000000000000,52.625000000000000,5,1,116050,7287,0,0
31,-127.875000000000000,52.625000000000000,-127.625000000000000,52.375000000000000,6,1,116708,7115,1,0.000140548137737175
32,-127.875000000000000,52.375000000000000,-127.625000000000000,52.125000000000000,7,1,117364,6093,7,0.0011488593467914
33,-127.875000000000000,52.125000000000000,-127.625000000000000,51.875000000000000,8,1,118018,5940,8,0.00134680134680135
34,-127.875000000000000,51.875000000000000,-127.625000000000000,51.625000000000000,9,1,118669,7233,71,0.00981612055855108
35,-127.875000000000000,51.625000000000000,-127.625000000000000,51.375000000000000,10,1,119318,3010,0,0
36,-127.875000000000000,51.375000000000000,-127.625000000000000,51.125000000000000,11,1,119964,3360,47,0.0139880952380952
37,-127.875000000000000,51.125000000000000,-127.625000000000000,50.875000000000000,12,1,120608,1010,127,0.125742574257426
38,-127.875000000000000,50.875000000000000,-127.625000000000000,50.625000000000000,13,1,121250,6945,599,0.0862491000719942
39,-127.875000000000000,50.625000000000000,-127.625000000000000,50.375000000000000,14,1,121889,6469,1540,0.238058432524347
40,-127.875000000000000,50.375000000000000,-127.625000000000000,50.125000000000000,15,1,122526,6364,376,0.0590823381521056
41,-127.875000000000000,50.125000000000000,-127.625000000000000,49.875000000000000,16,1,123161,608,0,0
42,-127.875000000000000,49.875000000000000,-127.625000000000000,49.625000000000000,17,1,123793,0,0,
43,-127.875000000000000,49.625000000000000,-127.625000000000000,49.375000000000000,18,1,124423,0,0,
44,-127.875000000000000,49.375000000000000,-127.625000000000000,49.125000000000000,19,1,125050,0,0,
45,-127.875000000000000,49.125000000000000,-127.625000000000000,48.875000000000000,20,1,125675,0,0,
46,-127.875000000000000,48.875000000000000,-127.625000000000000,48.625000000000000,21,1,126297,0,0,
47,-127.875000000000000,48.625000000000000,-127.625000000000000,48.375000000000000,22,1,126917,0,0,
48,-127.875000000000000,48.375000000000000,-127.625000000000000,48.125000000000000,23,1,127534,0,0,
49,-127.625000000000000,54.125000000000000,-127.375000000000000,53.875000000000000,0,2,112725,7062,51,0.00722175021240442
50,-127.625000000000000,53.875000000000000,-127.375000000000000,53.625000000000000,1,2,113394,7114,12,0.00168681473151532
51,-127.625000000000000,53.625000000000000,-127.375000000000000,53.375000000000000,2,2,114062,7165,1,0.000139567341242149
52,-127.625000000000000,53.375000000000000,-127.375000000000000,53.125000000000000,3,2,114727,7216,168,0.0232815964523282
53,-127.625000000000000,53.125000000000000,-127.375000000000000,52.875000000000000,4,2,115389,7270,413,0.056808803301238
54,-127.625000000000000,52.875000000000000,-127.375000000000000,52.625000000000000,5,2,116050,7322,21,0.00286806883365201
55,-127.625000000000000,52.625000000000000,-127.375000000000000,52.375000000000000,6,2,116708,6572,50,0.0076080340839927
56,-127.625000000000000,52.375000000000000,-127.375000000000000,52.125000000000000,7,2,117364,5383,101,0.0187627716886495
57,-127.625000000000000,52.125000000000000,-127.375000000000000,51.875000000000000,8,2,118018,6859,76,0.0110803324099723
58,-127.625000000000000,51.875000000000000,-127.375000000000000,51.625000000000000,9,2,118669,6387,98,0.0153436668232347
59,-127.625000000000000,51.625000000000000,-127.375000000000000,51.375000000000000,10,2,119318,6151,306,0.0497480084539099
60,-127.625000000000000,51.375000000000000,-127.375000000000000,51.125000000000000,11,2,119964,6114,234,0.0382728164867517
