lat,lon,total_acres,pseu_acres,abies_acres
50.5,-127,76277.22019483536,45856.80176279579,40635.94928096485
52.75,-116.5,95.12295081967201,0,95.12295081967201
52.5,-116.5,1661.3801518438179,0,1661.3801518438179
52.25,-116.5,6507.936473755044,2432.5781965006786,4154.338088829073
52,-116.5,6390.012032085565,710.0013368983954,5695.788502673797
51.75,-116.5,10521.753650119455,15.751128218741579,10521.753650119455
51.5,-116.5,22860.504941362502,4135.015680590325,19967.56621425746
51.25,-116.5,52509.75922533372,24347.57445694847,31615.741428945348
51,-116.5,80598.6153846154,65663.65904365899,17050.61122661118
50.75,-116.5,56362.24358147336,24935.169655528367,33820.4747774481
50.5,-116.5,31413.40240932981,4654.994489298985,28476.694476483444
50.25,-127,86637.23424920122,39317.927923322706,66187.5274121406
50.25,-116.5,54746.986259542005,7092.790076335878,51239.5625954199
50,-116.5,47039.25495893869,5259.433733417562,45140.87946936193
49.75,-116.5,89408.64395935267,27908.16974030858,70399.40647346628
49.5,-116.5,84948.7373208723,10124.388660436134,80452.45445482872
49.25,-116.5,100293.75154664689,47671.250927988156,61766.83989111606
54,-116.25,0,0,0
50,-127,90373.20926796505,26005.2507723304,80000.88596373406
53.75,-116.25,0,0,0
53.5,-116.25,0,0,0
53.25,-116.25,0,0,0
53,-116.25,0,0,0
52.75,-116.25,0,0,0
52.5,-116.25,870.6008409060083,63.316424793164245,807.2844161128442
52.25,-116.25,4155.456650511572,1090.214862681745,3096.8422186322027
52,-116.25,3580.604918471002,78.86794974605623,3501.7369687249375
51.75,-116.25,2173.078821656048,0,2173.078821656048
51.5,-116.25,21180.98919346333,31.449130205587565,21149.540063257748
49.75,-127,40776.286812536964,9224.079243051454,35066.1425192194
51.25,-116.25,25955.56178010476,2182.5910994764386,24605.18167539269
51,-116.25,49891.62946602569,24303.365986748115,27499.94023645578
50.75,-116.25,86683.11403508768,78111.77760577913,9947.75541795666
50.5,-116.25,79723.6828955797,44726.46969891096,37261.64689301731
50.25,-116.25,51442.21374045804,10241.677099236642,43211.459541984754
50,-116.25,54375.09906494818,4435.289992418504,51542.73843821071
49.75,-116.25,69196.71455457962,20564.859723964924,52639.206649937274
49.5,-116.25,89365.09940209266,29199.41853512706,66938.5820876931
49.25,-116.25,102018.1396212402,61325.42393860625,48633.135289020865
54,-116,0,0,0
53.75,-116,0,0,0
53.5,-116,0,0,0
53.25,-116,0,0,0
53,-116,0,0,0
52.75,-116,0,0,0
52.5,-116,1313.1034295784227,47.461569743798066,1265.6418598346188
52.25,-116,663.3411384739607,15.793836630332395,647.5473018436281
52,-116,994.4006954660957,0,994.4006954660957
51.75,-116,976.5699495619863,0,976.5699495619863
51.5,-116,5062.642772433786,47.167479246277466,5046.920279351688
51.25,-116,16164.693877551068,1145.6530612244894,15442.775510204063
51,-116,45463.07276507271,28506.490644490663,18680.44906444908
50.75,-116,71688.98425400097,52816.049303045926,20578.69772844611
50.5,-116,72515.05457340504,63864.46451447609,9852.928388419163
50.25,-116,66631.20640976721,52341.96032048833,15411.193437619273
50,-116,75232.19325075831,36036.11160262894,41966.89282103136
49.75,-116,73017.677917189445,46395.19335006273,27834.009535759145
49.5,-116,87496.06429105409,55483.41851482682,34369.024545228065
49.25,-116,96332.75179411031,50966.9265033408,51972.649096758265
54,-115.75,0,0,0
53.75,-115.75,0,0,0
53.5,-115.75,0,0,0
53.25,-115.75,0,0,0
53,-115.75,0,0,0
52.75,-115.75,0,0,0
52.5,-115.75,506.32537960954477,0,506.32537960954477
52.25,-115.75,758.7167676767672,15.806599326598779,742.9101683501683
52,-115.75,615.1700080192464,0,615.1700080192464
51.75,-115.75,1779.8774887178138,0,1779.8774887178138
51.5,-115.75,1840.0166073546882,47.17991300909365,1808.5633320152883
51.25,-115.75,11677.772602381261,4332.076933141432,7565.438702080337
51,-115.75,14290.567233987324,3760.675587891385,11109.662465895803
50.75,-115.75,44024.087450019324,27712.498387720825,17625.27408745005
50.5,-115.75,76028.38086087623,59304.94773251339,18394.214962849088
50.25,-115.75,76257.1134020618,69582.66666666664,8155.924398625435
50,-115.75,95494.51130764377,94514.2026531901,1338.1991156032793
49.75,-115.75,92402.07741530736,92231.22132998744,217.45319949811818
49.5,-115.75,87502.36652542367,83300.14406779663,4698.425847457627
49.25,-115.75,68451.02697352145,37505.71640683002,33916.06038109379
54,-115.5,0,0,0
53.75,-115.5,0,0,0
53.5,-115.5,0,0,0
53.25,-115.5,0,0,0
53,-115.5,0,0,0
52.75,-115.5,0,0,0
52.5,-115.5,0,0,0
52.25,-115.5,1009.9900497512433,0,1009.9900497512433
52,-115.5,946.7950260730049,0,946.7950260730049
