lat,lon,land
32.5,-105.25,TRUE
32.5,-105,TRUE
32.5,-104.75,TRUE
32.5,-104.5,TRUE
32.5,-104.25,TRUE
32.5,-104,TRUE
32.75,-117.25,TRUE
32.75,-117,TRUE
32.75,-116.75,TRUE
32.75,-116.5,TRUE
32.75,-116.25,TRUE
32.75,-116,TRUE
32.75,-115.75,TRUE
32.75,-115.5,TRUE
32.75,-115.25,TRUE
32.75,-115,TRUE
32.75,-114.75,TRUE
32.75,-114.5,TRUE
32.75,-114.25,TRUE
32.75,-114,TRUE
32.75,-113.75,TRUE
32.75,-113.5,TRUE
32.75,-113.25,TRUE
32.75,-113,TRUE
32.75,-112.75,TRUE
32.75,-112.5,TRUE
32.75,-112.25,TRUE
32.75,-112,TRUE
32.75,-111.75,TRUE
32.75,-111.5,TRUE
32.75,-111.25,TRUE
32.75,-111,TRUE
32.75,-110.75,TRUE
32.75,-110.5,TRUE
32.75,-110.25,TRUE
32.75,-110,TRUE
32.75,-109.75,TRUE
32.75,-109.5,TRUE
32.75,-109.25,TRUE
32.75,-109,TRUE
32.75,-108.75,TRUE
32.75,-108.5,TRUE
32.75,-108.25,TRUE
32.75,-108,TRUE
32.75,-107.75,TRUE
32.75,-107.5,TRUE
32.75,-107.25,TRUE
32.75,-107,TRUE
32.75,-106.75,TRUE
32.75,-106.5,TRUE
32.75,-106.25,TRUE
32.75,-106,TRUE
32.75,-105.75,TRUE
32.75,-105.5,TRUE
32.75,-105.25,TRUE
32.75,-105,TRUE
32.75,-104.75,TRUE
32.75,-104.5,TRUE
32.75,-104.25,TRUE
32.75,-104,TRUE
33,-117.25,TRUE
33,-117,TRUE
33,-116.75,TRUE
33,-116.5,TRUE
33,-116.25,TRUE
33,-116,TRUE
33,-115.75,TRUE
33,-115.5,TRUE
33,-115.25,TRUE
33,-115,TRUE
33,-114.75,TRUE
33,-114.5,TRUE
33,-114.25,TRUE
33,-114,TRUE
33,-113.75,TRUE
33,-113.5,TRUE
33,-113.25,TRUE
33,-113,TRUE
33,-112.75,TRUE
33,-112.5,TRUE
33,-112.25,TRUE
33,-112,TRUE
33,-111.75,TRUE
33,-111.5,TRUE
33,-111.25,TRUE
33,-111,TRUE
33,-110.75,TRUE
33,-110.5,TRUE
33,-110.25,TRUE
33,-110,TRUE
33,-109.75,TRUE
33,-109.5,TRUE
33,-109.25,TRUE
33,-109,TRUE
33,-108.75,TRUE
33,-108.5,TRUE
33,-108.25,TRUE
33,-108,TRUE
33,-107.75,TRUE
33,-107.5,TRUE
33,-107.25,TRUE
33,-107,TRUE
33,-106.75,TRUE
33,-106.5,TRUE
33,-106.25,TRUE
33,-106,TRUE
33,-105.75,TRUE
33,-105.5,TRUE
33,-105.25,TRUE
33,-105,TRUE
33,-104.75,TRUE
33,-104.5,TRUE
33,-104.25,TRUE
33,-104,TRUE
33.25,-119.5,TRUE
33.25,-117.5,TRUE
33.25,-117.25,TRUE
33.25,-117,TRUE
33.25,-116.75,TRUE
33.25,-116.5,TRUE
33.25,-116.25,TRUE
33.25,-116,TRUE
33.25,-115.75,TRUE
33.25,-115.5,TRUE
33.25,-115.25,TRUE
33.25,-115,TRUE
33.25,-114.75,TRUE
33.25,-114.5,TRUE
33.25,-114.25,TRUE
33.25,-114,TRUE
33.25,-113.75,TRUE
33.25,-113.5,TRUE
33.25,-113.25,TRUE
33.25,-113,TRUE
33.25,-112.75,TRUE
33.25,-112.5,TRUE
33.25,-112.25,TRUE
33.25,-112,TRUE
33.25,-111.75,TRUE
33.25,-111.5,TRUE
33.25,-111.25,TRUE
33.25,-111,TRUE
33.25,-110.75,TRUE
33.25,-110.5,TRUE
33.25,-110.25,TRUE
33.25,-110,TRUE
33.25,-109.75,TRUE
33.25,-109.5,TRUE
33.25,-109.25,TRUE
33.25,-109,TRUE
33.25,-108.75,TRUE
33.25,-108.5,TRUE
33.25,-108.25,TRUE
33.25,-108,TRUE
33.25,-107.75,TRUE
33.25,-107.5,TRUE
33.25,-107.25,TRUE
33.25,-107,TRUE
33.25,-106.75,TRUE
33.25,-106.5,TRUE
33.25,-106.25,TRUE
33.25,-106,TRUE
33.25,-105.75,TRUE
33.25,-105.5,TRUE
33.25,-105.25,TRUE
33.25,-105,TRUE
33.25,-104.75,TRUE
33.25,-104.5,TRUE
33.25,-104.25,TRUE
33.25,-104,TRUE
33.5,-118.5,TRUE
33.5,-118,TRUE
33.5,-117.75,TRUE
33.5,-117.5,TRUE
33.5,-117.25,TRUE
33.5,-117,TRUE
33.5,-116.75,TRUE
33.5,-116.5,TRUE
33.5,-116.25,TRUE
33.5,-116,TRUE
33.5,-115.75,TRUE
33.5,-115.5,TRUE
33.5,-115.25,TRUE
33.5,-115,TRUE
33.5,-114.75,TRUE
33.5,-114.5,TRUE
33.5,-114.25,TRUE
33.5,-114,TRUE
33.5,-113.75,TRUE
33.5,-113.5,TRUE
33.5,-113.25,TRUE
33.5,-113,TRUE
33.5,-112.75,TRUE
33.5,-112.5,TRUE
33.5,-112.25,TRUE
33.5,-112,TRUE
33.5,-111.75,TRUE
33.5,-111.5,TRUE
33.5,-111.25,TRUE
33.5,-111,TRUE
33.5,-110.75,TRUE
33.5,-110.5,TRUE
33.5,-110.25,TRUE
33.5,-110,TRUE
33.5,-109.75,TRUE
33.5,-109.5,TRUE
33.5,-109.25,TRUE
33.5,-109,TRUE
33.5,-108.75,TRUE
33.5,-108.5,TRUE
33.5,-108.25,TRUE
33.5,-108,TRUE
33.5,-107.75,TRUE
33.5,-107.5,TRUE
33.5,-107.25,TRUE
33.5,-107,TRUE
33.5,-106.75,TRUE
33.5,-106.5,TRUE
33.5,-106.25,TRUE
33.5,-106,TRUE
33.5,-105.75,TRUE
33.5,-105.5,TRUE
33.5,-105.25,TRUE
33.5,-105,TRUE
33.5,-104.75,TRUE
33.5,-104.5,TRUE
33.5,-104.25,TRUE
33.5,-104,TRUE
33.75,-118.25,TRUE
33.75,-118,TRUE
33.75,-117.75,TRUE
33.75,-117.5,TRUE
33.75,-117.25,TRUE
33.75,-117,TRUE
33.75,-116.75,TRUE
33.75,-116.5,TRUE
33.75,-116.25,TRUE
33.75,-116,TRUE
33.75,-115.75,TRUE
33.75,-115.5,TRUE
33.75,-115.25,TRUE
33.75,-115,TRUE
33.75,-114.75,TRUE
33.75,-114.5,TRUE
33.75,-114.25,TRUE
