State,breaks,break_end,keep,clust_n
BC,breaks3,NA,no,334
BC,breaks4,NA,no,334
BC,breaks5,NA,no,334
BC,breaks1,1986,no,340
BC,breaks2,1995,no,340
BC,breaks3,2004,yes,340
BC,breaks4,2013,yes,340
BC,breaks5,2022,yes,340
BC,breaks1,1986,no,350
BC,breaks2,1995,no,350
BC,breaks3,2004,no,350
BC,breaks4,2013,yes,350
BC,breaks5,2022,yes,350
BC,breaks1,1986,no,351
BC,breaks2,1995,no,351
BC,breaks3,2004,yes,351
BC,breaks4,2013,yes,351
BC,breaks5,2022,yes,351
BC,breaks1,1986,no,352
BC,breaks2,1995,no,352
BC,breaks3,2004,yes,352
BC,breaks4,2013,yes,352
BC,breaks5,2022,yes,352
BC,breaks1,NA,no,359
BC,breaks2,NA,no,359
BC,breaks3,NA,no,359
BC,breaks4,NA,yes,359
BC,breaks5,NA,no,359
BC,breaks1,1986,no,381
BC,breaks2,1995,no,381
BC,breaks3,2004,no,381
BC,breaks4,2013,yes,381
BC,breaks5,2022,yes,381
BC,breaks1,1986,no,408
BC,breaks2,1995,no,408
BC,breaks3,2004,no,408
BC,breaks4,2013,yes,408
BC,breaks5,2022,yes,408
BC,breaks1,1986,no,442
BC,breaks2,1995,no,442
BC,breaks3,2004,no,442
BC,breaks4,2013,yes,442
BC,breaks5,2022,yes,442
BC,breaks1,1986,no,450
BC,breaks2,1995,no,450
BC,breaks3,2004,no,450
BC,breaks4,2013,yes,450
BC,breaks5,2022,yes,450
BC,breaks1,1986,no,452
BC,breaks2,1995,no,452
BC,breaks3,2004,no,452
BC,breaks4,2013,yes,452
BC,breaks5,2022,yes,452
BC,breaks1,1988,no,458
BC,breaks2,1997,no,458
BC,breaks3,2006,no,458
BC,breaks4,2015,yes,458
BC,breaks5,2024,no,458
BC,breaks1,1988,no,461
BC,breaks2,1997,no,461
BC,breaks3,2006,yes,461
BC,breaks4,2015,yes,461
BC,breaks5,2024,yes,461
BC,breaks1,1986,no,462
BC,breaks2,1995,no,462
BC,breaks3,2004,no,462
BC,breaks4,2013,yes,462
BC,breaks5,2022,yes,462
BC,breaks1,1986,no,471
BC,breaks2,1995,no,471
BC,breaks3,2004,yes,471
BC,breaks4,2013,yes,471
BC,breaks5,2022,yes,471
BC,breaks1,1986,no,472
BC,breaks2,1995,no,472
BC,breaks3,2004,no,472
BC,breaks4,2013,yes,472
BC,breaks5,2022,yes,472
CA,breaks1,NA,NA,17
CA,breaks2,NA,NA,17
CA,breaks3,NA,NA,17
CA,breaks4,NA,NA,17
CA,breaks5,NA,NA,17
CA,breaks1,1989,yes,40
CA,breaks2,1998,yes,40
CA,breaks3,2007,yes,40
CA,breaks4,2016,yes,40
CA,breaks5,2025,no,40
CA,breaks1,1989,no,58
CA,breaks2,1998,no,58
CA,breaks3,2007,yes,58
CA,breaks4,2016,no,58
CA,breaks5,2025,no,58
CA,breaks1,1989,no,66
CA,breaks2,1998,yes,66
CA,breaks3,2007,yes,66
CA,breaks4,2016,yes,66
CA,breaks5,2025,no,66
CA,breaks1,1989,yes,69
CA,breaks2,1998,yes,69
CA,breaks3,2007,yes,69
CA,breaks4,2016,yes,69
CA,breaks5,2025,no,69
CA,breaks1,1989,yes,70
CA,breaks2,1998,yes,70
CA,breaks3,2007,yes,70
CA,breaks4,2016,no,70
CA,breaks5,2025,no,70
CA,breaks1,1989,yes,80
CA,breaks2,1998,yes,80
CA,breaks3,2007,yes,80
CA,breaks4,2016,no,80
CA,breaks5,2025,no,80
CA,breaks1,1991,no,99
CA,breaks2,2000,yes,99
CA,breaks3,2009,yes,99
CA,breaks4,2018,no,99
CA,breaks5,2027,no,99
CA,breaks1,1991,yes,100
CA,breaks2,2000,yes,100
CA,breaks3,2009,yes,100
CA,breaks4,2018,no,100
CA,breaks5,2027,no,100
CA,breaks1,1991,yes,103
CA,breaks2,2000,yes,103
CA,breaks3,2009,yes,103
CA,breaks4,2018,no,103
CA,breaks5,2027,no,103
CA,breaks1,1989,yes,107
CA,breaks2,1998,yes,107
CA,breaks3,2007,yes,107
CA,breaks4,2016,no,107
CA,breaks5,2025,no,107
CA,breaks1,1989,no,153
CA,breaks2,1998,no,153
CA,breaks3,2007,yes,153
CA,breaks4,2016,yes,153
CA,breaks5,2025,no,153
CA,breaks1,1989,no,163
CA,breaks2,1998,no,163
CA,breaks3,2007,yes,163
CA,breaks4,2016,no,163
CA,breaks5,2025,no,163
CA,breaks1,1991,no,177
CA,breaks2,2000,yes,177
CA,breaks3,2009,yes,177
CA,breaks4,2018,yes,177
CA,breaks5,2027,no,177
CA,breaks1,1991,no,181
CA,breaks2,2000,yes,181
CA,breaks3,2009,yes,181
CA,breaks4,2018,yes,181
CA,breaks5,2027,no,181
CA,breaks1,1989,no,198
CA,breaks2,1998,yes,198
CA,breaks3,2007,yes,198
CA,breaks4,2016,no,198
CA,breaks5,2025,no,198
CA,breaks1,1991,yes,199
CA,breaks2,2000,yes,199
CA,breaks3,2009,yes,199
CA,breaks4,2018,no,199
CA,breaks5,2027,no,199
CA,breaks1,1989,no,201
CA,breaks2,1998,no,201
CA,breaks3,2007,yes,201
CA,breaks4,2016,yes,201
CA,breaks5,2025,no,201
CA,breaks1,1989,yes,217
CA,breaks2,1998,yes,217
CA,breaks3,2007,yes,217
CA,breaks4,2016,no,217
CA,breaks5,2025,no,217
CA,breaks1,1989,yes,218
CA,breaks2,1998,yes,218
CA,breaks3,2007,no,218
CA,breaks4,2016,yes,218
