State,clust_n,breaks
CA,153,breaks4
CA,153,breaks5
CA,163,breaks1
CA,163,breaks2
CA,163,breaks3
CA,163,breaks4
CA,163,breaks5
CA,177,breaks1
CA,177,breaks2
CA,177,breaks3
CA,177,breaks4
CA,177,breaks5
CA,181,breaks1
CA,181,breaks2
CA,181,breaks3
CA,181,breaks4
CA,181,breaks5
CA,198,breaks1
CA,198,breaks2
CA,198,breaks3
CA,198,breaks4
CA,198,breaks5
CA,199,breaks1
CA,199,breaks2
CA,199,breaks3
CA,199,breaks4
CA,199,breaks5
CA,201,breaks1
CA,201,breaks2
CA,201,breaks3
CA,201,breaks4
CA,201,breaks5
CA,217,breaks1
CA,217,breaks2
CA,217,breaks3
CA,217,breaks4
CA,217,breaks5
CA,218,breaks1
CA,218,breaks2
CA,218,breaks3
CA,218,breaks4
CA,218,breaks5
CA,224,breaks1
CA,224,breaks2
CA,224,breaks3
CA,224,breaks4
CA,224,breaks5
CA,241,breaks1
CA,241,breaks2
CA,241,breaks3
CA,241,breaks4
CA,241,breaks5
CA,249,breaks1
CA,249,breaks2
CA,249,breaks3
CA,249,breaks4
CA,249,breaks5
CA,255,breaks1
CA,255,breaks2
CA,255,breaks3
CA,255,breaks4
CA,255,breaks5
CA,273,breaks1
CA,273,breaks2
CA,273,breaks3
CA,273,breaks4
CA,273,breaks5
CA,276,breaks1
CA,276,breaks2
CA,276,breaks3
CA,276,breaks4
CA,276,breaks5
CA,305,breaks1
CA,305,breaks2
CA,305,breaks3
CA,305,breaks4
CA,305,breaks5
CA,310,breaks1
CA,310,breaks2
CA,310,breaks3
CA,310,breaks4
CA,310,breaks5
CA,311,breaks1
CA,311,breaks2
CA,311,breaks3
CA,311,breaks4
CA,311,breaks5
CA,320,breaks1
CA,320,breaks2
CA,320,breaks3
CA,320,breaks4
CA,320,breaks5
CA,321,breaks1
CA,321,breaks2
CA,321,breaks3
CA,321,breaks4
CA,321,breaks5
CA,322,breaks1
CA,322,breaks2
CA,322,breaks3
CA,322,breaks4
CA,322,breaks5
CA,337,breaks1
CA,337,breaks2
CA,337,breaks3
CA,337,breaks4
CA,337,breaks5
CA,339,breaks1
CA,339,breaks2
CA,339,breaks3
CA,339,breaks4
CA,339,breaks5
CA,346,breaks1
CA,346,breaks2
CA,346,breaks3
CA,346,breaks4
CA,346,breaks5
CA,362,breaks1
CA,362,breaks2
CA,362,breaks3
CA,362,breaks4
CA,362,breaks5
CA,363,breaks1
CA,363,breaks2
CA,363,breaks3
CA,363,breaks4
CA,363,breaks5
CA,383,breaks1
CA,383,breaks2
CA,383,breaks3
CA,383,breaks4
CA,383,breaks5
CA,389,breaks1
CA,389,breaks2
CA,389,breaks3
CA,389,breaks4
CA,389,breaks5
CA,394,breaks1
CA,394,breaks2
CA,394,breaks3
CA,394,breaks4
CA,394,breaks5
CA,402,breaks1
CA,402,breaks2
CA,402,breaks3
CA,402,breaks4
CA,402,breaks5
CA,405,breaks1
CA,405,breaks2
CA,405,breaks3
CA,405,breaks4
CA,405,breaks5
CA,406,breaks1
CA,406,breaks2
CA,406,breaks3
CA,406,breaks4
CA,406,breaks5
CA,409,breaks1
CA,409,breaks2
CA,409,breaks3
CA,409,breaks4
CA,409,breaks5
CA,417,breaks1
CA,417,breaks2
CA,417,breaks3
CA,417,breaks4
CA,417,breaks5
CA,433,breaks1
CA,433,breaks2
CA,433,breaks3
CA,433,breaks4
CA,433,breaks5
CA,444,breaks1
CA,444,breaks2
CA,444,breaks3
CA,444,breaks4
CA,444,breaks5
CA,453,breaks1
CA,453,breaks2
CA,453,breaks3
CA,453,breaks4
CA,453,breaks5
CA,463,breaks1
CA,463,breaks2
CA,463,breaks3
CA,463,breaks4
CA,463,breaks5
CO,116,breaks1
CO,116,breaks2
CO,116,breaks3
CO,116,breaks4
CO,116,breaks5
CO,204,breaks1
CO,204,breaks2
CO,204,breaks3
CO,204,breaks4
CO,204,breaks5
CO,214,breaks1
CO,214,breaks2
CO,214,breaks3
CO,214,breaks4
CO,214,breaks5
CO,285,breaks1
CO,285,breaks2
CO,285,breaks3
CO,285,breaks4
CO,285,breaks5
CO,298,breaks1
CO,298,breaks2
CO,298,breaks3
CO,298,breaks4
CO,298,breaks5
CO,413,breaks1
CO,413,breaks2
CO,413,breaks3
CO,413,breaks4
CO,413,breaks5
CO,427,breaks1
CO,427,breaks2
CO,427,breaks3
CO,427,breaks4
CO,427,breaks5
CO,431,breaks1
CO,431,breaks2
CO,431,breaks3
CO,431,breaks4
CO,431,breaks5
CO,445,breaks1
CO,445,breaks2
CO,445,breaks3
CO,445,breaks4
CO,445,breaks5
CO,446,breaks1
CO,446,breaks2
CO,446,breaks3
CO,446,breaks4
CO,446,breaks5
CO,457,breaks1
CO,457,breaks2
CO,457,breaks3
CO,457,breaks4
CO,457,breaks5
ID,1,breaks1
ID,1,breaks2
ID,1,breaks3
ID,1,breaks4
ID,1,breaks5
ID,2,breaks1
ID,2,breaks2
ID,2,breaks3
ID,2,breaks4
ID,2,breaks5
ID,3,breaks1
ID,3,breaks2
ID,3,breaks3
ID,3,breaks4
ID,3,breaks5
ID,12,breaks1
ID,12,breaks2
ID,12,breaks3
ID,12,breaks4
ID,12,breaks5
ID,13,breaks1
ID,13,breaks2
ID,13,breaks3
ID,13,breaks4
ID,13,breaks5
ID,18,breaks1
ID,18,breaks2
ID,18,breaks3
ID,18,breaks4
ID,18,breaks5
ID,19,breaks1
ID,19,breaks2
ID,19,breaks3
ID,19,breaks4
ID,19,breaks5
ID,20,breaks1
ID,20,breaks2
ID,20,breaks3
ID,20,breaks4
ID,20,breaks5
ID,21,breaks1
ID,21,breaks2
ID,21,breaks3
ID,21,breaks4
ID,21,breaks5
ID,27,breaks1
ID,27,breaks2
ID,27,breaks3
ID,27,breaks4
ID,27,breaks5
ID,28,breaks1
ID,28,breaks2
ID,28,breaks3
ID,28,breaks4
ID,28,breaks5
ID,42,breaks1
ID,42,breaks2
ID,42,breaks3
ID,42,breaks4
ID,42,breaks5
ID,44,breaks1
ID,44,breaks2
ID,44,breaks3
ID,44,breaks4
ID,44,breaks5
ID,47,breaks1
ID,47,breaks2
ID,47,breaks3
ID,47,breaks4
ID,47,breaks5
ID,48,breaks1
ID,48,breaks2
ID,48,breaks3
ID,48,breaks4
ID,48,breaks5
ID,50,breaks1
ID,50,breaks2
ID,50,breaks3
ID,50,breaks4
ID,50,breaks5
ID,74,breaks1
ID,74,breaks2
ID,74,breaks3
ID,74,breaks4
ID,74,breaks5
ID,75,breaks1
ID,75,breaks2
ID,75,breaks3
ID,75,breaks4
ID,75,breaks5
ID,76,breaks1
ID,76,breaks2
ID,76,breaks3
ID,76,breaks4
ID,76,breaks5
ID,81,breaks1
ID,81,breaks2
ID,81,breaks3
ID,81,breaks4
ID,81,breaks5
ID,82,breaks1
