area_meters,area_km,year,num,type,lon_cent,lat_cent,manual_id
268644714.01940745,3.740778135385215,1947,90,broken,-117.61801230490887,45.95051589583907,1
268644714.01940745,2.493607522820689,1947,90,broken,-117.65451021840792,45.88840990164197,2
268644714.01940745,2.7439963052441514,1947,90,broken,-117.71141230434662,45.87045149280591,3
268644714.01940745,2.5907310828749353,1947,90,broken,-117.62183018776936,45.88957174091694,4
268644714.01940745,3.1712590499733837,1947,90,broken,-117.777771670299,45.85280389892619,5
268644714.01940745,2.502428080782044,1947,90,broken,-117.84465903825516,45.8910343740538,6
268644714.01940745,3.7465513048731665,1947,90,broken,-117.7881594355524,45.94562667623872,7
268644714.01940745,2.8612956665229965,1947,90,broken,-117.84653530699694,45.90562271805504,8
268644714.01940745,2.93604118735864,1947,90,broken,-117.70447361631808,45.92386524116523,9
268644714.01940745,3.547918873054743,1947,90,broken,-117.63934783001672,45.9380627219958,10
268644714.01940745,2.97312521293354,1947,90,broken,-117.61850256947687,45.91062088340767,11
268644714.01940745,2.7730377335991747,1947,90,broken,-117.596588068145,45.90600319220903,12
268644714.01940745,2.5480100423412324,1947,90,broken,-117.70568525478542,45.89030974977404,13
268644714.01940745,2.6311287589595316,1947,90,broken,-117.7347496117459,45.90592025440488,14
268644714.01940745,2.699059105202645,1947,90,broken,-117.72407723331304,45.95130935451091,15
268644714.01940745,3.265229041276001,1947,90,broken,-117.58357996556438,45.91618601194183,16
268644714.01940745,2.888532867476344,1947,90,broken,-117.7738577505994,45.91296939541893,17
268644714.01940745,3.683429794536963,1947,90,broken,-117.56541274314364,45.94510294895126,18
268644714.01940745,2.9732517793756723,1947,90,broken,-117.68495913156146,45.93133527640165,19
268644714.01940745,2.575351607647976,1947,90,broken,-117.69468680659774,45.87614918748506,20
268644714.01940745,2.94584635034585,1947,90,broken,-117.66830808806122,45.92386657181729,21
268644714.01940745,3.12188091712439,1947,90,broken,-117.6602969389552,45.939944328870695,22
268644714.01940745,3.061622366295576,1947,90,broken,-117.80925299633282,45.90883524884281,23
268644714.01940745,2.512279407220721,1947,90,broken,-117.6875777174104,45.89171238289829,24
268644714.01940745,2.8524367195072395,1947,90,broken,-117.74097622218498,45.85291213784421,25
268644714.01940745,2.7313481598479448,1947,90,broken,-117.671108869419,45.885256228797665,26
268644714.01940745,2.563944466624921,1947,90,broken,-117.72345422441076,45.85636211227812,27
268644714.01940745,2.891769943045562,1947,90,broken,-117.8265503277358,45.91669674711262,28
268644714.01940745,3.323719346769154,1947,90,broken,-117.6026016377585,45.927188858166346,29
268644714.01940745,2.589942480895042,1947,90,broken,-117.82768164848316,45.898758279332206,30
268644714.01940745,2.8872449594988825,1947,90,broken,-117.75364783090896,45.91042670930769,31
268644714.01940745,3.238410386177808,1947,90,broken,-117.778198650677,45.882552219029726,32
268644714.01940745,3.176420900252819,1947,90,broken,-117.79305787734516,45.921618653979714,33
268644714.01940745,3.3186464879494904,1947,90,broken,-117.64084067704307,45.978137017762016,34
268644714.01940745,2.7411437159774303,1947,90,broken,-117.72295061253672,45.88873606258285,35
268644714.01940745,2.744108510648966,1947,90,broken,-117.6502505877099,45.92021384247094,36
268644714.01940745,2.9691109742817283,1947,90,broken,-117.7565557179441,45.93242381173712,37
268644714.01940745,3.689069166135437,1947,90,broken,-117.52015995913344,45.94751743785693,38
268644714.01940745,2.3661078954954147,1947,90,broken,-117.68646357790328,45.91392067570533,39
268644714.01940745,2.6789691563072204,1947,90,broken,-117.74508151333735,45.86970450799396,40
268644714.01940745,2.5643180492338837,1947,90,broken,-117.75864060859284,45.88208676697757,41
268644714.01940745,2.3287711626604795,1947,90,broken,-117.74318382904166,45.92378457591416,42
268644714.01940745,3.2970119384372234,1947,90,broken,-117.59749922382063,45.94663508836719,43
268644714.01940745,2.565783705915422,1947,90,broken,-117.7168357271455,45.90672410209357,44
268644714.01940745,3.241753849519968,1947,90,broken,-117.58183375455508,45.93556837656957,45
268644714.01940745,2.5997214033181666,1947,90,broken,-117.7960037522197,45.88456562440242,46
268644714.01940745,4.044400440480709,1947,90,broken,-117.57873201861211,45.96198046121207,47
268644714.01940745,2.8387844935122057,1947,90,broken,-117.80078272855935,45.9632083597,48
268644714.01940745,2.3207577966403012,1947,90,broken,-117.6082963133844,45.896903377230515,49
268644714.01940745,2.5122612739497425,1947,90,broken,-117.81146044086726,45.89112211970146,50
268644714.01940745,3.1746488011977227,1947,90,broken,-117.80822444989136,45.930168522602045,51
268644714.01940745,3.4084735398084725,1947,90,broken,-117.76815908958064,45.94933997924848,52
268644714.01940745,3.494295394623399,1947,90,broken,-117.5998158692887,45.966284511591226,53
268644714.01940745,2.929010226141095,1947,90,broken,-117.74268315233736,45.89049090603036,54
268644714.01940745,3.447710726481339,1947,90,broken,-117.50409499853647,45.93206109879364,55
268644714.01940745,3.1933630043925048,1947,90,broken,-117.78916845039832,45.90149085198589,56
268644714.01940745,3.13194635851717,1947,90,broken,-117.67452336058824,45.954149328124835,57
268644714.01940745,3.0897997345731256,1947,90,broken,-117.6208224982014,45.93029796023511,58
268644714.01940745,3.78222315422906,1947,90,broken,-117.54186185873652,45.924453786566616,59
268644714.01940745,3.641517412293759,1947,90,broken,-117.61976216095373,45.97256717950274,60
268644714.01940745,3.0391625665655138,1947,90,broken,-117.71102537281946,45.9392257133,61
268644714.01940745,2.5421426206490993,1947,90,broken,-117.72497585903024,45.92187985674423,62
268644714.01940745,2.77319128139624,1947,90,broken,-117.80918219700207,45.87165245407855,63
