new_lat,new_lon,new_year,new_id,old_lat,old_lon,old_year,distm,diffyear,rate,old_id,p2
39.01303242224063,-120.48156230332248,1980,1,43.7432333036248,-119.74853432093256,1947,528902.1538902563,33,16027.337996674434,886,1947-1984
37.756814126962766,-119.80884915880111,2000,2,37.500782859422756,-119.62436511896664,1984,32752.307269220782,16,2047.019204326299,235,1985-2010
39.083,-114.327,2014,3,38.99943155097032,-114.24498195410554,1996,11683.005152163989,18,649.0558417868883,272,2011-2025
38.725056853959245,-104.84127231209773,2014,4,38.83480170804869,-104.90926047411422,1990,13539.763505283023,24,564.1568127201259,177,2011-2025
32.42616528345549,-110.74152743114641,1999,5,33.29108661131896,-110.8249030981037,1992,96238.39776080596,7,13748.342537257995,1228,1985-2010
36.74107210692616,-118.96182520739727,1998,6,36.70604,-118.815491,1986,13638.272227599888,12,1136.522685633324,2166,1985-2010
36.44799999999999,-118.564,2010,7,36.25377516466415,-118.67135027467765,1981,23608.32200307843,29,814.08006907167,80,1985-2010
35.203535688012586,-106.41663727188389,2000,8,37.3720437,-105.1058817,1986,267884.9317699048,14,19134.63798356463,2233,1985-2010
34.431686850560205,-111.16541876569063,2007,9,34.44249467131656,-111.26143820124938,1993,8906.107886222191,14,636.1505633015851,1425,1985-2010
34.21950188150977,-117.12674719674209,2016,10,34.243523396800704,-116.95027837901394,2010,16475.575155896662,6,2745.929192649444,1323,2011-2025
35.747351535160895,-105.83657462727919,2014,11,35.203535688012586,-106.41663727188389,2000,80073.96903441272,14,5719.5692167437655,8,2011-2025
35.81050006625212,-106.60299987407426,2017,12,35.853408645058074,-106.62953725017084,2012,5330.670962716027,5,1066.1341925432055,23,2011-2025
49.271000211431144,-124.15900269598491,2017,13,49.08000090810051,-123.8214941610161,2009,32508.718327836465,8,4063.589790979558,150,2011-2025
36.37150150425183,-105.04500134327246,2017,14,36.417,-105.104,2014,7314.7472283247635,3,2438.2490761082545,156,2011-2025
39.809999999999995,-120.46900000000001,2017,15,39.88937399999999,-120.56091000000002,1991,11812.673720359315,26,454.3336046292044,2270,2011-2025
40.56720146663441,-111.72479842464257,2016,16,41.52315363,-111.4749275,1991,108221.63411888127,25,4328.865364755251,1774,2011-2025
40.53021003502419,-121.56437439305755,2002,17,40.48021259677627,-121.5749429983102,1981,5623.738558425173,21,267.79707421072254,367,1985-2010
36.58299873215978,-118.74983816588988,1999,18,36.70604,-118.815491,1986,14862.710761669034,13,1143.2854432053102,2166,1985-2010
35.74100000000001,-105.42,2017,19,35.86449971510941,-105.23078585491302,2012,21915.07363015415,5,4383.01472603083,1385,2011-2025
31.422451736360838,-110.3170122333736,2008,20,32.75166000000001,-110.046944,1995,149582.29436478578,13,11506.330335752751,2318,1985-2010
44.35344504693042,-120.37727913555634,1987,21,43.8606351051261,-119.72827507829138,1947,75486.9416369564,40,1887.17354092391,888,1985-2010
35.13675618325736,-106.48584285244503,2017,22,35.203535688012586,-106.41663727188389,2000,9728.159037819696,17,572.2446492835115,8,2011-2025
35.853408645058074,-106.62953725017084,2012,23,35.203535688012586,-106.41663727188389,2000,74644.31110702327,12,6220.3592589186055,8,2011-2025
35.68460078091943,-105.94244112702398,2018,24,35.747351535160895,-105.83657462727919,2014,11842.329626737304,4,2960.582406684326,11,2011-2025
47.91,-116.70400000000001,2018,25,48.01736551058376,-117.25154796567936,1963,42596.55779587929,55,774.4828690159871,897,2011-2025
32.95176308046797,-105.74310501058507,2000,26,43.957273085377274,-119.017454283501,1947,1679504.7149063288,53,31688.76820577979,598,1985-2010
47.76848049907722,-114.09704956280507,2018,27,47.68420350645546,-114.05675465213967,1981,9845.865935814916,37,266.1044847517545,2170,2011-2025
43.91252343229075,-115.65705063339182,1992,28,43.709374712261386,-115.31776812016155,1983,35421.6987751226,9,3935.744308346955,741,1985-2010
47.877,-114.033,2018,29,47.77709196223296,-114.25871169117343,1979,20223.96639905149,39,518.5632410013202,1179,2011-2025
36.21356803907668,-118.68281433289752,2018,30,36.25377516466415,-118.67135027467765,1981,4578.999428351474,37,123.7567413067966,80,2011-2025
47.75500000000001,-114.18,2018,31,47.77709196223296,-114.25871169117343,1979,6391.254510788633,39,163.87832078945212,1179,2011-2025
35.974,-118.401,2018,32,35.95877456681185,-118.61145181669903,1998,19058.181615064146,20,952.9090807532073,86,2011-2025
38.02466688213805,-105.00349982257927,2018,33,37.3720437,-105.1058817,1986,72995.71945715082,32,2281.116233035963,2233,2011-2025
36.6342653904609,-118.8152541059109,1998,34,36.70604,-118.815491,1986,7964.962152484574,12,663.7468460403812,2166,1985-2010
34.164875598153905,-116.87708475649787,2017,35,34.22157308173654,-116.86979410795429,2009,6325.0195696904875,8,790.6274462113109,315,2011-2025
37.22650020597998,-119.2270002320587,2018,36,37.43702500000001,-119.48117000000002,1984,32454.712812656682,34,954.5503768428435,1799,2011-2025
42.48487666909273,-122.08407226054295,2018,37,42.54639,-122.10583000000001,1981,7063.166679525144,37,190.89639674392282,2320,2011-2025
49.252500107883485,-123.24200015192997,2018,38,48.33597901136478,-120.25533908356135,1947,241929.84742889117,71,3407.4626398435375,586,2011-2025
34.27,-116.85000000000001,2018,39,34.22157308173654,-116.86979410795429,2009,5672.87128472843,9,630.3190316364921,315,2011-2025
46.788,-113.72,2018,40,46.8097778856671,-113.94145567379346,1983,17078.586061087302,35,487.9596017453515,65,2011-2025
47.34341851118725,-120.68457305257495,2018,41,47.30443510870818,-120.72991087238543,1981,5525.451325991345,37,149.3365223240904,466,2011-2025
36.564190526021136,-118.64534912011798,2018,42,36.58299873215978,-118.74983816588988,1999,9582.480918576255,19,504.34110097769764,18,2011-2025
36.50400060088963,-118.81300201499634,2018,43,36.58299873215978,-118.74983816588988,1999,10432.470597472282,19,549.0773998669622,18,2011-2025
47.066612839260124,-114.27696273900577,1979,44,46.11889677676176,-117.33375420296046,1947,256823.99026771914,32,8025.749695866223,589,1947-1984
36.46640044080695,-118.65476344572085,2018,45,36.25377516466415,-118.67135027467765,1981,23641.02947069761,37,638.9467424512867,80,2011-2025
35.16140145666962,-106.39216486717056,2005,46,35.203535688012586,-106.41663727188389,2000,5178.807595720846,5,1035.7615191441691,8,1985-2010
39.338427627037646,-105.31087536584792,1988,47,39.30104736391463,-105.27000208883764,1986,5444.836420662707,2,2722.4182103313533,379,1985-2010
46.96156832557911,-114.04511892020248,1979,48,46.077133682354756,-117.30483637249861,1947,268736.6250536211,32,8398.019532925658,590,1947-1984
39.048209045567255,-120.12697597684554,2004,49,39.01303242224063,-120.48156230332248,1980,30950.627870619533,24,1289.6094946091473,1,1985-2010
49.20205627738054,-119.62293517923389,2009,50,48.9502661706318,-119.6138145525044,1973,28009.810573856048,36,778.0502937182235,954,1985-2010
49.15066464645894,-119.44526868534088,2009,51,48.93842694372315,-119.5006093972331,1972,23947.309544710053,37,647.2245822894608,934,1985-2010
38.834,-104.821,2015,52,38.83480170804869,-104.90926047411422,1990,7663.9939035741345,25,306.5597561429654,177,2011-2025
49.31909328907343,-124.27714718170613,2019,53,49.08000090810051,-123.8214941610161,2009,42541.45667927944,10,4254.1456679279445,150,2011-2025
49.3703233010469,-120.12935887854204,1999,54,48.33475764342339,-120.16599244441281,1947,115193.39421712243,52,2215.257581098508,890,1985-2010
47.822,-114.232,2019,55,47.77709196223296,-114.25871169117343,1979,5379.219639683735,40,134.4804909920934,1179,2011-2025
50.59099999999999,-119.359,2019,56,50.47374685,-119.3683931,1999,13060.150512325836,20,653.0075256162918,2340,2011-2025
48.44420351224138,-123.52999373503738,2019,57,48.33597901136478,-120.25533908356135,1947,242804.1009907449,72,3372.2791804270123,586,2011-2025
46.880924430544376,-113.94975510308161,2019,58,46.8097778856671,-113.94145567379346,1983,7934.499928162875,36,220.4027757823021,65,2011-2025
43.98500031505223,-123.07549785218333,2019,59,44.258610000000004,-121.68472,1981,115395.66721147604,38,3036.7280845125274,2279,2011-2025
32.82914453805503,-105.75258640899789,2000,60,43.957273085377274,-119.017454283501,1947,1689458.6794465692,53,31876.578857482436,598,1985-2010
50.48827147793749,-119.24456781777258,2019,61,50.47374685,-119.3683931,1999,8936.132229520039,20,446.80661147600193,2340,2011-2025
49.15899999999999,-123.936,2019,62,49.08000090810051,-123.8214941610161,2009,12126.528718900083,10,1212.6528718900083,150,2011-2025
41.74733333429717,-111.80766667531998,2019,63,41.650397834135106,-111.72005323609473,1991,13003.92842552651,28,464.42601519737536,1022,2011-2025
43.60574500044628,-116.05967999864349,2019,64,43.76600491761151,-116.1042025997966,1990,18164.111915367805,29,626.3486867368208,1827,2011-2025
46.8097778856671,-113.94145567379346,1983,65,46.96156832557911,-114.04511892020248,1979,18632.470033570717,4,4658.117508392679,48,1947-1984
44.843987782649464,-115.99419187880781,2019,66,44.92221797353204,-115.94853692960571,1982,9412.277803507106,37,254.38588658127313,1504,2011-2025
49.06129652206773,-119.58218261515222,1999,67,48.9502661706318,-119.6138145525044,1973,12562.678387677626,26,483.179937987601,954,1985-2010
49.32981111673509,-119.48490634275856,2019,68,49.355619567927526,-119.6145624702389,1999,9849.420533577406,20,492.4710266788703,491,2011-2025
47.42800010869154,-114.04800000000002,2019,69,47.27632031430105,-114.14772158600155,1983,18470.040344196776,36,513.0566762276882,1092,2011-2025
41.261000622974585,-122.38500330740418,2019,70,40.635161517406715,-121.70599112522179,1980,89995.13531244663,39,2307.567572114016,222,2011-2025
38.506,-120.51300000000002,2019,71,38.61173854783874,-120.43909540447457,1982,13389.140378894179,37,361.86865888903185,1944,2011-2025
46.255,-114.164,2019,72,46.464420000000004,-114.212949,1983,23581.616400393817,36,655.0449000109394,2169,2011-2025
36.45633352886046,-104.9536674002619,2019,73,36.417,-105.104,2014,14168.47382973846,5,2833.694765947692,156,2011-2025
38.87318840237901,-120.40560870272161,1996,74,38.929297,-120.484965,1981,9283.651341084204,15,618.9100894056136,2283,1985-2010
44.282694839518946,-116.10356692641827,1992,75,44.37827032896586,-115.93545295854229,1981,17105.041967153524,11,1555.003815195775,478,1985-2010
40.581,-111.656,2019,76,40.56720146663441,-111.72479842464257,2016,6023.612384646567,3,2007.870794882189,16,2011-2025
38.306,-120.11200000000001,2019,77,38.287829,-120.17311599999998,1980,5714.0871686133605,39,146.5150556054708,2272,2011-2025
44.94738450942858,-116.13716122223167,1991,78,44.92221797353204,-115.94853692960571,1982,15149.674533833277,9,1683.2971704259196,1504,1985-2010
39.099000000000004,-119.93499999999999,2019,79,39.229148,-120.01192,2004,15904.83004335201,15,1060.322002890134,1842,2011-2025
36.25377516466415,-118.67135027467765,1981,80,43.7432333036248,-119.74853432093256,1947,836640.7818875165,34,24607.081820221072,886,1947-1984
46.6750043221093,-114.07250233160511,2019,81,46.716131000000004,-114.164423,1983,8386.469962113426,36,232.95749894759516,2123,2011-2025
37.940662572408826,-119.19170990224688,2019,82,37.43702500000001,-119.48117000000002,1984,61453.42859415897,35,1755.8122455473992,1799,2011-2025
37.64060023466196,-118.98400058418414,2019,83,37.43702500000001,-119.48117000000002,1984,49408.388576030484,35,1411.6682450294425,1799,2011-2025
37.060500177315895,-119.16150004283797,2019,84,37.39843576198684,-119.57241403373324,1982,52310.20927395163,37,1413.7894398365306,1997,2011-2025
40.268508023258484,-121.12084743333112,2019,85,40.28267558088739,-121.31013597912731,1988,16175.587332451198,31,521.7931397564903,2255,2011-2025
35.95877456681185,-118.61145181669903,1998,86,36.25377516466415,-118.67135027467765,1981,33174.9034629992,17,1951.4649095881884,80,1985-2010
36.585,-118.582,2019,87,36.58299873215978,-118.74983816588988,1999,15022.18786899719,20,751.1093934498596,18,2011-2025
40.49950000969658,-121.41950005589847,2017,88,40.570997,-121.43822600000001,1994,8096.344576580048,23,352.0149815904369,1778,2011-2025
35.88034805548132,-106.70466496239942,2019,89,35.853408645058074,-106.62953725017084,2012,7414.3846328664695,7,1059.19780469521,23,2011-2025
32.630720447695495,-109.82286323771785,2014,90,32.65284950968817,-109.86313999853715,2001,4506.027199644433,13,346.6174768957256,1408,2011-2025
36.26657388042019,-115.6505926520215,2019,91,36.25377516466415,-118.67135027467765,1981,271457.9271251086,38,7143.629661187068,80,2011-2025
36.728772909890914,-118.89769371552951,1998,92,36.70604,-118.815491,1986,7765.199704165651,12,647.0999753471376,2166,1985-2010
44.42738219850659,-121.72973321519513,2017,93,44.49167,-121.70000000000002,1982,7525.4501178767305,35,215.01286051076372,2032,2011-2025
49.521,-117.28100000000002,2019,94,48.980538116885945,-118.5120245172848,1964,107910.70288189691,55,1962.012779670853,904,2011-2025
36.689,-118.612,2019,95,36.70604,-118.815491,1986,18282.619943200814,33,554.0187861576004,2166,2011-2025
37.22,-113.162,2019,96,37.350885583749026,-113.03416225855716,2003,18426.069749823033,16,1151.6293593639396,1163,2011-2025
35.82100037374881,-106.1995,2020,97,36.00521049951565,-106.2845511702285,2007,21833.627053300785,13,1679.5097733308296,1229,2011-2025
50.1645164813446,-119.44045283306481,2011,98,50.15173522290405,-119.38091784171358,1999,4485.6463535609955,12,373.8038627967496,1328,2011-2025
39.485,-105.07400000000001,2020,99,39.39779453756331,-105.09642585992725,1986,9872.488611145252,34,290.3673120925074,338,2011-2025
32.95490872886701,-105.66584637040364,2001,100,32.965551,-105.605888,2000,5728.716483051552,1,5728.716483051552,2034,1985-2010
40.6610000528388,-111.77650078705601,2020,101,40.56720146663441,-111.72479842464257,2016,11297.608185129075,4,2824.4020462822687,16,2011-2025
35.08971838347039,-106.39635342791517,2015,102,35.16140145666962,-106.39216486717056,2005,7961.88494195441,10,796.1884941954411,46,2011-2025
36.147001701476626,-105.54819711074684,2020,103,36.03939889012038,-105.27412392076414,2012,27418.482172179647,8,3427.310271522456,1387,2011-2025
46.69340240603967,-113.9788917249685,2019,104,46.8097778856671,-113.94145567379346,1983,13249.444221852878,36,368.04011727369107,65,2011-2025
42.38753504589611,-123.00025028293823,1983,105,42.06813038684523,-121.30800102363325,1965,144134.74649037584,18,8007.485916131991,724,1947-1984
49.962245062817345,-119.41979334667964,2009,106,49.908316043217525,-119.46919906035528,1998,6968.616359176001,11,633.5105781069092,1066,1985-2010
39.65913779521699,-120.48138009279782,2019,107,39.60733459361616,-120.60000244076494,1981,11695.576723414195,38,307.77833482668933,328,2011-2025
32.890527451958995,-105.77834967446826,2004,108,32.82914453805503,-105.75258640899789,2000,7221.980331661205,4,1805.4950829153013,60,1985-2010
38.28941334642539,-120.29112001037072,1980,109,43.7432333036248,-119.74853432093256,1947,607383.2706584444,33,18405.553656316497,886,1947-1984
44.99969957030833,-117.19671036769915,1973,110,45.78085213778396,-117.56552128282557,1947,91494.52384936207,26,3519.0201480523874,662,1947-1984
49.819,-124.53200000000001,2020,111,48.33597901136478,-120.25533908356135,1947,353228.41725260497,73,4838.745441816506,586,2011-2025
37.91100144785918,-119.4264969824871,2012,112,37.500782859422756,-119.62436511896664,1984,48759.34443072718,28,1741.4051582402565,235,2011-2025
32.89936040359536,-105.66990042105148,2001,113,32.820440078862994,-105.67148522273993,2000,8753.67622196697,1,8753.67622196697,219,1985-2010
39.714,-105.18300000000002,2020,114,39.407830321341365,-105.22341387671791,1986,34169.822096463475,34,1004.9947675430434,437,2011-2025
48.335000156016456,-114.30200035303861,2020,115,48.158179693477194,-114.37269034530388,1983,20350.445225495718,37,550.0120331215059,1225,2011-2025
40.264,-105.304,2020,116,39.407830321341365,-105.22341387671791,1986,95311.71892084622,34,2803.2858506131242,437,2011-2025
36.49533338612094,-118.56400053377403,2020,117,36.44799999999999,-118.564,2010,5252.480201915369,10,525.248020191537,7,2011-2025
49.982000000000006,-125.22700000000002,2020,118,48.33597901136478,-120.25533908356135,1947,406097.8207577438,73,5562.98384599649,586,2011-2025
47.637864327319186,-116.82601285441613,2011,119,47.733274950058345,-117.27644428963674,1964,35442.08680819174,47,754.0869533657818,917,2011-2025
39.99125188279785,-105.2272520727158,2019,120,39.999085051804265,-105.30046087422758,2015,6312.230363304232,4,1578.057590826058,159,2011-2025
49.055895899206,-119.0478828400661,2009,121,48.98393565209155,-118.8996419880295,1982,13476.196590723723,27,499.1183922490268,1007,1985-2010
38.64350003830718,-120.50700002093174,2020,122,38.69407901001985,-120.51403198994232,1981,5647.983097129481,39,144.82007941357645,1785,2011-2025
