new_lat,new_lon,new_year,new_id,new_source,old_lat,old_lon,old_year,distm,country,state
47.1999,-115.47556,2020,49258,Defoliation surveys,46.75086,-115.59857,2006,50790.02032631805,United States of America,Idaho
47.20461,-115.08249,2020,49331,Defoliation surveys,47.3540752092449,-114.47991758244082,2004,48523.495883670475,United States of America,Montana
47.20583,-115.64633,2021,49859,Defoliation surveys,47.07306,-116.16919,2010,42320.26964461305,United States of America,Idaho
47.20815,-115.58733,2021,49860,Defoliation surveys,47.07306,-116.16919,2010,46622.56361235406,United States of America,Idaho
47.20832,-115.48674,2020,49259,Defoliation surveys,46.75086,-115.59857,2006,51563.34721029145,United States of America,Idaho
47.20939,-115.47696,2020,49260,Defoliation surveys,46.75086,-115.59857,2006,51807.673948736345,United States of America,Idaho
47.21073,-115.28199,2020,49261,Defoliation surveys,46.75086,-115.59857,2006,56513.25139907249,United States of America,Montana
47.21444,-115.28595,2020,49262,Defoliation surveys,46.75086,-115.59857,2006,56759.43278841675,United States of America,Montana
47.2156,-113.84085,2019,49013,Defoliation surveys,47.174842,-114.096709,2002,19911.33837978212,United States of America,Montana
47.21758,-115.23531,2020,49263,Defoliation surveys,46.75086,-115.59857,2006,58786.80714226066,United States of America,Montana
47.21788,-115.66945,2020,49205,Defoliation surveys,47.07306,-116.16919,2010,41182.90566717137,United States of America,Idaho
47.22517,-115.27191,2020,49264,Defoliation surveys,46.75086,-115.59857,2006,58291.54836360631,United States of America,Montana
47.2267,-115.44172,2020,49265,Defoliation surveys,46.75086,-115.59857,2006,54228.6825678442,United States of America,Idaho
47.23,-115.52058,2020,49266,Defoliation surveys,47.07306,-116.16919,2010,52193.49291789569,United States of America,Idaho
47.23209,-115.41162,2020,49267,Defoliation surveys,46.75086,-115.59857,2006,55356.263081920464,United States of America,Idaho
47.23458,-115.28496,2020,49268,Defoliation surveys,46.75086,-115.59857,2006,58829.346985695636,United States of America,Montana
47.23749,-115.39574,2020,49269,Defoliation surveys,46.75086,-115.59857,2006,56255.84708758759,United States of America,Idaho
47.23838,-115.31113,2020,49270,Defoliation surveys,46.75086,-115.59857,2006,58441.45430319302,United States of America,Montana
47.23985,-116.00531,2020,49150,Defoliation surveys,47.07306,-116.16919,2010,22322.3861604063,United States of America,Idaho
47.241,-121.979,2023,50694,iNaturalist,47.30498,-121.31915,2002,50433.32836415183,United States of America,Washington
47.24409,-115.99757,2020,49152,Defoliation surveys,47.07306,-116.16919,2010,23040.987196874026,United States of America,Idaho
47.24629,-115.52427,2020,49272,Defoliation surveys,47.07306,-116.16919,2010,52559.26227735677,United States of America,Idaho
47.2463,-115.30846,2020,49273,Defoliation surveys,46.75086,-115.59857,2006,59334.327797019025,United States of America,Montana
47.24668,-116.01382,2020,49153,Defoliation surveys,47.07306,-116.16919,2010,22613.806461908105,United States of America,Idaho
47.24734,-115.29423,2020,49274,Defoliation surveys,46.75086,-115.59857,2006,59851.64117363628,United States of America,Montana
47.24736,-115.39254,2020,49271,Defoliation surveys,46.75086,-115.59857,2006,57377.698550083114,United States of America,Idaho
47.24754,-116.12213,2021,49788,Defoliation surveys,47.19534,-116.31847,2002,15963.574375567476,United States of America,Idaho
47.24791,-115.36654,2020,49275,Defoliation surveys,46.75086,-115.59857,2006,58007.32848682161,United States of America,Idaho
47.24966,-116.01864,2020,49154,Defoliation surveys,47.07306,-116.16919,2010,22710.898359384424,United States of America,Idaho
47.25157,-115.4616,2020,49279,Defoliation surveys,46.75086,-115.59857,2006,56630.79488660352,United States of America,Idaho
47.25188,-115.36275,2020,49276,Defoliation surveys,46.75086,-115.59857,2006,58514.71264535484,United States of America,Idaho
47.2519,-115.50111,2020,49278,Defoliation surveys,47.07306,-116.16919,2010,54419.14728169432,United States of America,Idaho
47.25198,-115.51988,2020,49277,Defoliation surveys,47.07306,-116.16919,2010,53100.21412776289,United States of America,Idaho
47.25203,-115.55105,2020,49206,Defoliation surveys,47.07306,-116.16919,2010,50919.077235060904,United States of America,Idaho
47.25294,-115.31286,2020,49281,Defoliation surveys,46.75086,-115.59857,2006,59896.98117483772,United States of America,Montana
47.2533,-115.30158,2020,49280,Defoliation surveys,46.75086,-115.59857,2006,60250.65552887142,United States of America,Montana
47.25476,-115.59689,2020,49207,Defoliation surveys,47.07306,-116.16919,2010,47864.51441561239,United States of America,Idaho
47.25509,-115.40501,2020,49282,Defoliation surveys,46.75086,-115.59857,2006,57956.128470971686,United States of America,Idaho
47.25541,-115.66696,2020,49208,Defoliation surveys,47.07306,-116.16919,2010,43140.20021648157,United States of America,Idaho
47.25731,-115.64513,2020,49209,Defoliation surveys,47.07306,-116.16919,2010,44703.9187117267,United States of America,Idaho
47.25888,-115.31199,2020,49283,Defoliation surveys,46.75086,-115.59857,2006,60536.15554466282,United States of America,Montana
47.26193,-115.42466,2020,49285,Defoliation surveys,46.75086,-115.59857,2006,58334.75214228415,United States of America,Idaho
47.26349,-115.58928,2020,49210,Defoliation surveys,47.07306,-116.16919,2010,48798.123070728194,United States of America,Idaho
47.26398,-115.2972,2020,49286,Defoliation surveys,46.75086,-115.59857,2006,61475.83504736351,United States of America,Montana
47.26473,-115.51116,2020,49284,Defoliation surveys,47.07306,-116.16919,2010,54249.02621792243,United States of America,Idaho
47.2649,-115.4908,2020,49287,Defoliation surveys,47.07306,-116.16919,2010,55679.04567001667,United States of America,Idaho
47.26686,-115.51715,2021,49861,Defoliation surveys,47.07306,-116.16919,2010,53925.21343253413,United States of America,Idaho
47.26846,-115.52728,2020,49288,Defoliation surveys,47.07306,-116.16919,2010,53293.545258438986,United States of America,Idaho
47.26858,-115.32521,2020,49289,Defoliation surveys,46.75086,-115.59857,2006,61193.70372389997,United States of America,Montana
47.26967,-115.30529,2020,49290,Defoliation surveys,46.75086,-115.59857,2006,61838.27897459738,United States of America,Montana
47.27039,-115.35968,2020,49291,Defoliation surveys,46.75086,-115.59857,2006,60545.96853717567,United States of America,Montana
47.27092,-115.54701,2020,49211,Defoliation surveys,47.07306,-116.16919,2010,52045.380291028916,United States of America,Idaho
47.27268,-115.49546,2021,49862,Defoliation surveys,47.07306,-116.16919,2010,55688.56374902894,United States of America,Idaho
47.27483,-115.52298,2020,49292,Defoliation surveys,47.07306,-116.16919,2010,53879.485794517605,United States of America,Idaho
47.27595,-115.5156,2020,49293,Defoliation surveys,47.07306,-116.16919,2010,54439.41731546009,United States of America,Idaho
47.27641,-115.36461,2020,49295,Defoliation surveys,46.75086,-115.59857,2006,61074.55575960271,United States of America,Montana
47.27708,-115.37552,2020,49294,Defoliation surveys,46.75086,-115.59857,2006,60909.09555762936,United States of America,Montana
47.27959,-115.53031,2020,49296,Defoliation surveys,47.07306,-116.16919,2010,53597.173609678684,United States of America,Idaho
47.28105,-115.50982,2020,49297,Defoliation surveys,47.07306,-116.16919,2010,55071.95767322953,United States of America,Idaho
47.2813,-115.90048,2021,49832,Defoliation surveys,47.07306,-116.16919,2010,30835.92005596702,United States of America,Idaho
47.2853,-115.3495,2020,49298,Defoliation surveys,46.75086,-115.59857,2006,62359.00478826868,United States of America,Montana
47.28753,-115.87834,2021,49833,Defoliation surveys,47.07306,-116.16919,2010,32474.11864115696,United States of America,Idaho
47.29322,-115.62341,2020,49213,Defoliation surveys,47.07306,-116.16919,2010,48065.99513965339,United States of America,Idaho
47.29328,-115.68385,2020,49212,Defoliation surveys,47.07306,-116.16919,2010,44188.94092324282,United States of America,Idaho
47.29666,-116.08907,2021,49789,Defoliation surveys,47.19534,-116.31847,2002,20700.538616198108,United States of America,Idaho
47.306,-122.525,2023,50689,iNaturalist,47.06107960991539,-122.78055631167229,1992,33415.61505290052,United States of America,Washington
47.30634,-115.49129,2021,49863,Defoliation surveys,47.07306,-116.16919,2010,57550.377203346325,United States of America,Montana
47.30688,-115.51622,2020,49299,Defoliation surveys,47.07306,-116.16919,2010,55897.848362143,United States of America,Montana
47.31221,-115.63812,2020,49214,Defoliation surveys,47.07306,-116.16919,2010,48234.21546796023,United States of America,Idaho
47.33585,-115.5063,2020,49300,Defoliation surveys,47.07306,-116.16919,2010,58103.137945767834,United States of America,Montana
47.35023,-115.49196,2020,49301,Defoliation surveys,47.07306,-116.16919,2010,59845.864585578536,United States of America,Montana
47.35101,-115.13795,2020,49332,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,48297.72454527897,United States of America,Montana
47.35397,-115.44882,2020,49302,Defoliation surveys,47.07306,-116.16919,2010,62874.22218363063,United States of America,Montana
47.36403,-115.15911,2020,49333,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,49445.48839385096,United States of America,Montana
47.36644,-115.17007,2020,49334,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,50181.01190752886,United States of America,Montana
47.37117,-114.96601,2020,49335,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,35248.47550217219,United States of America,Montana
47.37486,-115.14284,2020,49337,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,47960.499334540385,United States of America,Montana
47.37504,-115.19628,2020,49336,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,51887.0483118395,United States of America,Montana
47.37765,-115.051,2020,49338,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,41166.77722930859,United States of America,Montana
47.38265,-115.16427,2020,49339,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,49344.21153050437,United States of America,Montana
47.38411,-115.21994,2020,49303,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,53428.865549444214,United States of America,Montana
47.38914,-115.11989,2020,49341,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,45916.73886495022,United States of America,Montana
47.38995,-115.16925,2020,49340,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,49548.07548467779,United States of America,Montana
47.39358,-115.12857,2020,49342,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,46457.54284613971,United States of America,Montana
47.39363,-115.07058,2020,49344,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,42173.362254986605,United States of America,Montana
47.39381,-115.06272,2020,49343,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,41589.71479033364,United States of America,Montana
47.39433,-114.99974,2020,49345,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,36951.09355016402,United States of America,Montana
47.3945,-115.50004,2020,49304,Defoliation surveys,47.07306,-116.16919,2010,62003.89241559899,United States of America,Montana
47.39516,-115.03284,2020,49346,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,39357.11751517351,United States of America,Montana
47.39538,-115.01659,2020,49347,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,38157.95206360849,United States of America,Montana
47.39643,-113.78968,2020,49608,Defoliation surveys,47.282175,-114.127316,2005,28503.448726241215,United States of America,Montana
47.39716,-116.18931,2020,49157,Defoliation surveys,47.19534,-116.31847,2002,24471.61432506324,United States of America,Idaho
47.39834,-116.20809,2020,49156,Defoliation surveys,47.23668,-116.41305,2002,23730.751216158846,United States of America,Idaho
47.39836,-115.19122,2020,49348,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,51008.63315807337,United States of America,Montana
47.39875,-114.97987,2020,49349,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,35376.699363460015,United States of America,Montana
47.39929,-115.06064,2020,49351,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,41306.94320613129,United States of America,Montana
47.40102,-115.11304,2020,49350,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,45148.38415592211,United States of America,Montana
47.4024,-114.98637,2020,49352,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,35758.45843218795,United States of America,Montana
47.40883,-116.19548,2020,49158,Defoliation surveys,47.23668,-116.41305,2002,25235.008331160992,United States of America,Idaho
47.40919,-115.06698,2020,49353,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,41564.521746145656,United States of America,Montana
47.40954,-115.23201,2020,49305,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,53859.096275359625,United States of America,Montana
47.41318,-115.13921,2020,49354,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,46869.759412181396,United States of America,Montana
47.414,-122.446,2024,51403,iNaturalist,47.06107960991539,-122.78055631167229,1992,46703.020025817445,United States of America,Washington
47.41459,-115.474,2020,49306,Defoliation surveys,47.07306,-116.16919,2010,64898.90999996476,United States of America,Montana
47.41721,-115.00393,2020,49356,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,36723.8590086229,United States of America,Montana
47.41814,-115.26058,2020,49307,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,55874.70859534714,United States of America,Montana
47.41851,-115.09015,2020,49355,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,43120.45276701676,United States of America,Montana
47.42073,-115.15543,2020,49359,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,47964.9544602408,United States of America,Montana
47.42152,-115.05002,2020,49358,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,40076.69716701369,United States of America,Montana
47.42171,-115.19649,2020,49360,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,51025.545533042365,United States of America,Montana
47.42197,-114.96681,2020,49357,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,33873.49734410533,United States of America,Montana
47.42343,-115.20837,2020,49308,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,51893.92533115532,United States of America,Montana
47.42482,-115.85566,2020,49215,Defoliation surveys,47.19534,-116.31847,2002,43307.4155922263,United States of America,Idaho
47.42663,-115.24865,2020,49309,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,54876.40954105835,United States of America,Montana
47.42776,-115.21958,2020,49310,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,52681.79468556726,United States of America,Montana
47.428,-114.043,2019,50113,iNaturalist,47.282175,-114.127316,2005,17419.05587077392,United States of America,Montana
47.428,-114.053,2019,50120,iNaturalist,47.31852932974888,-114.2119737928594,2003,17096.242961367912,United States of America,Montana
47.428,-114.053,2019,50115,iNaturalist,47.31852932974888,-114.2119737928594,2003,17096.242961367912,United States of America,Montana
47.42955,-115.15835,2020,49361,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,48067.20593189149,United States of America,Montana
47.43267,-115.19745,2020,49362,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,50966.47336405847,United States of America,Montana
47.4379,-115.17057,2020,49363,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,48893.91058822679,United States of America,Montana
47.43982,-115.89579,2020,49216,Defoliation surveys,47.19534,-116.31847,2002,41951.555751632826,United States of America,Idaho
47.43984,-115.11058,2020,49365,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,44368.0421728337,United States of America,Montana
47.44027,-115.18262,2020,49364,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,49777.28130800797,United States of America,Montana
47.44468,-115.19879,2020,49366,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,50956.399632537614,United States of America,Montana
47.44507,-115.90747,2020,49217,Defoliation surveys,47.19534,-116.31847,2002,41668.964768267826,United States of America,Idaho
47.44528,-114.75993,2020,49437,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,18054.816720819123,United States of America,Montana
47.44569,-116.1002,2020,49159,Defoliation surveys,47.49,-116.52,2010,32029.38076825733,United States of America,Idaho
47.4474,-115.17061,2020,49367,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,48816.02552815225,United States of America,Montana
47.45172,-116.06046,2020,49160,Defoliation surveys,47.19534,-116.31847,2002,34537.81370708579,United States of America,Idaho
47.45441,-115.73238,2020,49218,Defoliation surveys,47.19534,-116.31847,2002,52844.132162675414,United States of America,Idaho
47.45708,-115.72158,2020,49219,Defoliation surveys,47.19534,-116.31847,2002,53689.4215561245,United States of America,Idaho
47.45758,-114.72364,2020,49438,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,15138.224131374966,United States of America,Montana
47.45779,-115.88261,2020,49220,Defoliation surveys,47.19534,-116.31847,2002,44010.67699493076,United States of America,Idaho
47.45963,-115.89439,2020,49222,Defoliation surveys,47.19534,-116.31847,2002,43485.16522793372,United States of America,Idaho
47.45969,-115.70408,2020,49221,Defoliation surveys,47.19534,-116.31847,2002,54959.76572968584,United States of America,Idaho
47.46051,-115.18217,2020,49368,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,49611.779244383186,United States of America,Montana
47.4617,-114.80112,2020,49439,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,20909.44211428893,United States of America,Montana
47.46251,-114.74044,2020,49440,Defoliation surveys,47.47462330518306,-114.52442414881652,2004,16341.066845338057,United States of America,Montana
