manual_id,lat,lon,source,year,lat_coord,lon_coord
41592,43.60951597600163,-115.31214252460325,Defoliation surveys,1991,43.5,-115.25
41601,43.488782667468705,-115.45809403562258,Defoliation surveys,1991,43.5,-115.5
41653,43.80283375717538,-115.31995456923664,Defoliation surveys,1991,43.75,-115.25
41668,43.534682412602386,-115.50282331819238,Defoliation surveys,1991,43.5,-115.5
41671,43.53018549314213,-115.40117652978972,Defoliation surveys,1991,43.5,-115.5
41686,43.48965731680434,-115.36812930166803,Defoliation surveys,1991,43.5,-115.25
41724,43.83659100635878,-115.47211442306524,Defoliation surveys,1991,43.75,-115.5
41893,43.60039142198569,-115.29596688651571,Defoliation surveys,1992,43.5,-115.25
41988,43.7059768317607,-115.28455399895776,Defoliation surveys,1992,43.75,-115.25
42008,43.66815901506884,-115.62077057933662,Defoliation surveys,1992,43.75,-115.5
42029,43.545579688516845,-115.3195894112243,Defoliation surveys,1992,43.5,-115.25
42070,43.83749652202191,-115.5883059473742,Defoliation surveys,1992,43.75,-115.5
42107,44.33862667616434,-116.10125728493614,Defoliation surveys,1992,44.25,-116
42117,44.3440513636007,-116.141679235511,Defoliation surveys,1992,44.25,-116.25
42178,43.554386014813645,-115.05848273653922,Defoliation surveys,1992,43.5,-115
42190,43.72903430786835,-115.14824283782605,Defoliation surveys,1992,43.75,-115.25
42200,43.78250932336664,-115.28337307328788,Defoliation surveys,1992,43.75,-115.25
42241,43.85348966400001,-115.48243153285556,Defoliation surveys,1992,43.75,-115.5
42341,43.49609758137444,-115.17983414469654,Defoliation surveys,1993,43.5,-115.25
42361,43.670788654718976,-115.11251564875585,Defoliation surveys,1993,43.75,-115
42374,43.68260342275358,-115.17991216788631,Defoliation surveys,1993,43.75,-115.25
42405,43.75340041766019,-118.8292562330192,Defoliation surveys,1994,43.75,-118.75
42558,47.07723004595676,-116.891927881144,Defoliation surveys,2000,47,-117
42568,47.115065930325535,-116.96966104324126,Defoliation surveys,2000,47,-117
42598,45.91797278258797,-117.88049729041352,Defoliation surveys,2001,46,-118
42609,46.12105255430437,-117.69857016777436,Defoliation surveys,2001,46,-117.75
42678,46.82474549699598,-116.87703888250086,Defoliation surveys,2001,46.75,-117
42686,46.797051014939605,-116.7223934572948,Defoliation surveys,2001,46.75,-116.75
42802,46.12768170487435,-117.65682700005732,Defoliation surveys,2002,46.25,-117.75
42808,45.294346196272066,-116.89406779263452,Defoliation surveys,2002,45.25,-117
42822,37.51919241556339,-119.73252796175456,Defoliation surveys,2006,37.5,-119.75
42823,37.52099356190535,-119.71672427825808,Defoliation surveys,2006,37.5,-119.75
43008,39.851014685697606,-121.046463123,Defoliation surveys,2014,39.75,-121
43015,39.346909995181896,-105.25603695330538,Defoliation surveys,2015,39.25,-105.25
43093,44.363467432382464,-115.94921458514096,Defoliation surveys,2018,44.25,-116
43107,44.32451807424532,-115.91023264206592,Defoliation surveys,2018,44.25,-116
43126,44.353620565906354,-116.19712402361216,Defoliation surveys,2018,44.25,-116.25
43133,44.348293457784266,-116.13149575568576,Defoliation surveys,2018,44.25,-116.25
43152,44.38731262271979,-116.18208259933272,Defoliation surveys,2018,44.5,-116.25
43173,44.4357444691475,-115.7913620526117,Defoliation surveys,2018,44.5,-115.75
43263,44.25850545296188,-116.19772786046993,Defoliation surveys,2019,44.25,-116.25
43270,44.38308321388136,-116.07530387389876,Defoliation surveys,2019,44.5,-116
43290,44.21635984781128,-116.01582451800137,Defoliation surveys,2019,44.25,-116
43329,44.44046351903114,-115.8296325338642,Defoliation surveys,2019,44.5,-115.75
43333,44.14622067488462,-116.06384340646756,Defoliation surveys,2019,44.25,-116
43517,47.56609981122151,-120.6192844873922,Defoliation surveys,1971,47.5,-120.5
43528,45.45727737999976,-118.38854506160986,Defoliation surveys,1972,45.5,-118.5
43558,45.40478745229784,-118.15419237432172,Defoliation surveys,1972,45.5,-118.25
43606,45.87525061507997,-118.08281528553611,Defoliation surveys,1972,46,-118
43610,45.90827430066419,-118.04853266150332,Defoliation surveys,1972,46,-118
43617,45.96885835740876,-118.0219991332622,Defoliation surveys,1972,46,-118
43620,47.74683834573581,-118.05710411722578,Defoliation surveys,1972,47.75,-118
43637,46.05979093830389,-117.90590398548368,Defoliation surveys,1972,46,-118
43660,46.236972457604715,-117.80485285738476,Defoliation surveys,1972,46.25,-117.75
43682,45.77293100713346,-117.56957738141696,Defoliation surveys,1972,45.75,-117.5
43684,45.802856457330414,-117.62861341317,Defoliation surveys,1972,45.75,-117.75
43694,46.126645928255115,-117.25562709532409,Defoliation surveys,1972,46.25,-117.25
43695,46.1300927354666,-117.27290846340858,Defoliation surveys,1972,46.25,-117.25
43702,46.1614792446405,-117.2722075644252,Defoliation surveys,1972,46.25,-117.25
