lat,lon,Cropland,Mixed Forest,No data,Temperate or sub-polar broadleaf deciduous forest,Temperate or sub-polar needleleaf forest,Temperate or sub-polar shrubland,Urban and Built-up,Water,Wetland,Temperate or sub-polar grassland,Barren Lands,Snow and Ice,Sub-polar or polar grassland-lichen-moss,Sub-polar or polar barren-lichen-moss,Sub-polar taiga needleleaf forest,near_needle
49,-123,0.0294351630867144,0.03579952267303103,0.8186157517899761,0.015115354017501989,0.021479713603818614,0.05489260143198091,0.023070803500397773,0.0015910898965791568,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-122.975,NA,0.01200960768614892,0.9439551641313051,NA,0.014411529223378704,0.024819855884707767,0.0040032025620496394,8.006405124099279e-4,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-122.95,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
49,-122.925,NA,NA,0.9984089101034208,NA,0.0015910898965791568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-122.9,NA,NA,0.9642289348171701,NA,0.007154213036565978,NA,0.02702702702702703,NA,0.001589825119236884,NA,NA,NA,NA,NA,NA,TRUE
49,-122.875,NA,NA,0.9132856006364359,NA,0.011933174224343675,7.955449482895784e-4,0.07239459029435164,NA,0.0015910898965791568,NA,NA,NA,NA,NA,NA,TRUE
49,-122.85,0.005568814638027049,NA,0.8496420047732697,0.003977724741447892,0.010342084327764518,0.0015910898965791568,0.12569610182975338,NA,7.955449482895784e-4,0.002386634844868735,NA,NA,NA,NA,NA,TRUE
49,-122.825,0.05342902711323764,0.004784688995215311,0.7200956937799043,0.023125996810207338,0.01674641148325359,7.974481658692185e-4,0.17942583732057416,NA,NA,0.001594896331738437,NA,NA,NA,NA,NA,TRUE
49,-122.8,0.1452513966480447,0.009577015163607342,0.581803671189146,0.040702314445331206,0.0223463687150838,7.980845969672786e-4,0.19632881085395051,NA,NA,0.0031923383878691143,NA,NA,NA,NA,NA,TRUE
49,-122.775,0.30990415335463256,0.004792332268370607,0.4241214057507987,0.05830670926517572,0.019169329073482427,NA,0.17731629392971246,NA,NA,0.006389776357827476,NA,NA,NA,NA,NA,TRUE
49,-122.75,NA,NA,NA,NA,0.3414826498422713,0.5023659305993691,NA,NA,NA,0.15615141955835962,NA,NA,NA,NA,NA,TRUE
49,-122.725,NA,NA,NA,0.0023847376788553257,0.8203497615262321,0.09697933227344992,NA,NA,NA,0.028616852146263912,0.0397456279809221,0.003179650238473768,0.008744038155802861,NA,NA,TRUE
49,-122.7,NA,NA,NA,0.013556618819776715,0.7902711323763956,0.17145135566188197,0.015151515151515152,0.003189792663476874,NA,0.006379585326953748,NA,NA,NA,NA,NA,TRUE
49,-122.675,NA,NA,NA,0.01674641148325359,0.49681020733652315,0.21929824561403508,NA,NA,NA,0.02631578947368421,0.13875598086124402,0.08851674641148326,0.013556618819776715,NA,NA,TRUE
49,-122.65,NA,NA,NA,0.015103338632750398,0.38791732909379967,0.23052464228934816,NA,NA,NA,0.03815580286168521,0.16534181240063592,0.1494435612082671,0.013513513513513514,NA,NA,TRUE
49,-122.625,NA,NA,NA,0.017557861133280128,0.39185953711093374,0.1971268954509178,NA,NA,NA,0.040702314445331206,0.1596169193934557,0.17956903431763768,0.013567438148443736,NA,NA,TRUE
49,-122.6,NA,NA,NA,0.01596169193934557,0.3750997605746209,0.16919393455706305,NA,NA,NA,0.03830806065442937,0.18515562649640863,0.20510774142059057,0.0111731843575419,NA,NA,TRUE
49,-122.575,NA,NA,NA,0.010333863275039745,0.32829888712241656,0.14864864864864866,NA,NA,NA,0.034976152623211444,0.1669316375198728,0.307631160572337,0.003179650238473768,NA,NA,TRUE
49,-122.55,NA,NA,NA,0.006364359586316627,0.29196499602227527,0.13444709626093873,NA,NA,NA,0.03341288782816229,0.19013524264120923,0.33810660302307083,0.005568814638027049,NA,NA,TRUE
49,-122.525,NA,NA,NA,0.011164274322169059,0.24641148325358853,0.1331738437001595,NA,NA,NA,0.029505582137161084,0.18421052631578946,0.38915470494417864,0.006379585326953748,NA,NA,TRUE
49,-122.5,NA,NA,NA,0.018268467037331215,0.9118347895154885,0.056393963463065924,NA,NA,NA,0.003971405877680699,0.009531374106433678,NA,NA,NA,NA,TRUE
49,-122.475,NA,NA,NA,0.02717825739408473,0.8305355715427658,0.10071942446043165,NA,NA,NA,0.003996802557953637,0.0319744204636291,0.005595523581135092,NA,NA,NA,TRUE
